1413283
/m/04_hnt
/m/04_hnt
Colleen McCullough
1990
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
a 12
accused 1
adept 1
after 1
agenda 1
all 1
allegiance 1
also 3
although 2
an 2
and 10
appuleius 1
are 1
armed 1
army 1
as 3
assign 1
association 1
battles 1
be 2
becomes 1
belonged 1
betterknown 1
between 1
both 1
branch 1
but 4
by 3
caepio 2
caesar 2
can 1
cap 1
career 1
central 1
certainly 2
charge 1
childactor 1
cimbri 1
close 1
closes 1
concerned 1
consecutive 1
conservative 2
considered 1
consulship 1
consulships 1
credibility 1
crown 1
daughter 1
de 1
dealing 1
decision 1
dedie 1
defeat 4
details 1
die 1
disastrous 2
double 1
down 1
drusa 1
drusus 1
during 1
earlier 1
embezzling 1
esel 1
establishing 1
expected 1
explains 1
family 1
far 1
feature 1
few 1
fictitious 1
fighting 1
figure 1
figures 1
first 1
focused 1
for 5
form 1
frequently 1
friend 2
friendship 2
full 1
general 1
generally 1
generations 1
german 1
gold 1
grandfather 1
grass 1
greek 1
growing 1
has 2
have 1
he 7
help 1
hence 1
her 1
himself 3
his 15
hombre 1
homosexual 1
hope 1
however 1
in 10
instinct 1
insurrection 1
into 1
invasion 1
is 9
it 4
jugurtha 1
julia 2
julian 1
julii 1
julilla 1
julius 1
king 1
known 2
leaders 1
leading 1
lengthy 1
lets 1
letters 1
liebe 1
lives 1
livia 1
livius 1
longer 1
lucius 1
macht 1
main 1
makes 1
man 1
many 1
marcomannicheruscitigurini 1
marcus 1
marius 9
marriage 3
massive 1
mccullough 1
metellus 1
metrobius 1
militarily 1
military 1
minor 1
more 2
most 1
much 1
murder 1
narrative 2
needs 1
newfound 1
not 3
novel 3
numidia 1
numidian 1
occasionally 1
of 24
old 1
on 1
only 1
over 1
own 2
partisan 1
peace 1
plot 2
political 1
politically 2
possibly 1
power 1
primer 1
prominently 1
protagonist 1
protagonists 1
proves 2
publius 1
put 1
quintus 1
reason 1
recovery 1
relation 1
relationship 2
reorganization 1
replacing 1
responsible 1
resulting 1
rise 1
role 1
roma 1
roman 2
rome 2
rufus 1
ruins 1
rutilius 1
saturninus 1
sections 1
seems 1
senate 1
senior 1
servilius 2
several 1
she 2
sister 2
sixth 1
so 1
some 1
somewhat 1
storyline 1
stroke 1
subordinate 1
success 1
suffers 1
sulla 5
summer 1
system 1
tarred 1
teutones 1
than 2
that 3
the 33
theatre 1
their 2
there 3
third 1
time 1
to 10
together 1
told 1
torn 1
treasury 1
tribes 1
tribune 1
two 1
und 1
unprecedented 1
use 1
war 1
was 3
wealth 1
wealthy 1
when 1
which 5
while 1
who 1
whom 1
whose 1
wife 2
will 1
with 7
women 1
years 1
younger 2
