21298607
/m/05f6ls_
/m/05f6ls_
Susan Hill
1970
a 14
about 1
accident 1
accuses 1
acts 1
adults 1
age 1
agreed 1
also 1
an 1
ancient 1
and 19
animalistic 1
announces 1
antics 1
apparent 2
appears 3
are 1
arrive 1
as 4
at 1
attacked 1
attempts 1
attend 1
away 2
badly 1
be 2
become 1
becomes 1
believed 1
birth 1
book 2
both 1
boy 1
bring 1
bully 1
but 2
by 5
cabinets 1
calf 1
called 1
capacity 1
castle 1
charles 1
children 1
class 1
climaxes 1
climb 1
clutches 1
cold 1
comforting 1
committing 1
compassion 1
confident 1
continues 1
contrast 1
convinced 1
countryside 1
crow 2
cruel 1
cruelty 2
death 1
decay 2
decide 1
defensive 1
derne 1
described 1
devastated 1
discovers 1
disliking 1
disrepair 1
does 1
drowning 1
dynasty 1
edmund 2
ends 1
ensues 1
escape 1
even 1
exploits 1
fallen 1
falls 1
family 1
farm 1
father 1
fears 1
feeling 1
few 1
fielding 3
fight 1
fights 1
filled 1
formal 1
from 2
full 1
further 1
gains 1
glass 1
grand 1
hang 3
has 3
have 3
he 4
health 1
helena 2
her 2
here 1
him 3
himself 2
his 6
home 1
hooper 18
hoopers 1
hope 1
house 3
housekeeper 1
however 2
in 7
independence 1
inherited 1
injures 1
instantly 1
into 1
is 14
isolated 1
it 4
joseph 3
killed 1
kind 1
kingshaw 19
lack 1
lacks 1
large 1
leydell 1
lives 1
local 1
manipulative 1
mansion 1
marry 1
meets 1
mocks 1
monument 1
morbidity 1
more 1
moths 1
moving 1
mrs 2
name 1
near 1
normal 1
not 1
novel 2
oblivious 1
occasions 1
of 16
offers 1
on 1
once 2
parents 1
pattern 1
power 1
proceeds 1
protective 1
punches 1
pushing 1
recovers 1
regime 1
relationship 2
resumes 1
retrieve 1
returns 1
river 1
save 1
school 1
seem 1
seems 1
sense 1
set 1
setting 2
similar 1
since 1
small 1
social 1
some 1
son 3
stark 1
suicide 1
symbolism 1
symbolize 2
take 1
takes 2
taunt 1
taunting 1
territory 1
that 7
the 19
their 3
then 1
they 4
this 3
though 1
thought 1
throughout 2
to 18
together 2
travel 1
tried 1
trip 1
triumph 1
understanding 1
used 2
venture 1
very 1
vicious 1
victim 1
village 1
vulnerable 1
warings 5
was 1
weak 1
weaknesses 1
wellrounded 1
when 1
where 3
which 2
who 5
will 3
with 3
within 1
witnesses 1
wood 3
