9278157
/m/0282s9p
/m/0282s9p
Colin Dann
1981
a 8
able 2
about 2
absence 1
accept 1
across 1
adder 2
after 1
alive 1
all 1
alone 1
along 1
and 34
animals 7
another 2
any 1
approaches 1
are 5
areas 1
arrives 1
as 1
assume 2
at 3
attack 2
attacks 1
back 3
badger 17
because 2
becomes 1
been 2
being 1
best 1
both 2
boys 1
break 1
breaks 1
breed 1
bring 1
bringing 1
brings 1
but 3
by 6
called 1
can 1
captured 1
care 1
cares 1
cat 2
causing 1
celebrate 1
charging 1
chase 1
chasing 1
check 1
chicken 1
chickens 6
climb 1
cold 1
come 1
comes 1
convince 1
convinces 1
coop 1
cope 1
cottage 4
cry 1
danger 1
dead 2
death 1
decide 2
decides 2
deer 8
defeat 1
detain 1
died 1
difficult 1
direct 1
dog 1
doing 1
dont 1
due 1
during 1
earlier 2
eating 2
en 1
end 1
enter 1
environment 1
escaping 1
every 1
expects 1
explains 1
falls 1
farthing 2
feeling 1
female 1
field 2
find 2
finds 2
fish 1
food 4
foolish 1
for 8
foraging 1
fortunately 2
fox 10
foxes 7
free 1
freed 1
frees 1
friend 1
friends 2
from 4
frozen 1
gather 1
get 1
ginger 7
go 3
great 3
guest 1
had 1
half 1
hare 2
hares 1
harsh 1
has 2
have 1
having 1
hay 1
he 10
hear 1
hedgehogs 2
help 1
her 1
hibernation 2
him 4
his 12
home 1
houses 2
how 1
however 4
human 1
humans 1
hungry 1
hunt 1
hunting 2
ice 1
idea 1
if 3
ill 1
impressed 1
in 8
injured 4
injures 1
inside 2
instincts 1
into 2
introduced 1
is 15
it 3
jar 4
kestrel 5
killed 1
kills 1
know 2
law 1
learns 1
leave 1
leaves 2
leg 1
let 1
leverets 1
likely 1
live 2
longer 1
looked 1
lose 1
lures 1
making 1
masse 1
mate 2
mating 1
meet 1
meets 2
message 2
met 1
mice 2
mole 2
most 1
natural 1
nature 1
near 1
night 1
no 1
not 3
now 1
of 12
off 2
on 3
once 1
one 3
only 3
onto 1
opens 1
other 3
out 5
owl 2
owner 1
paddock 1
park 7
pistols 1
poachers 10
pond 3
population 1
prepare 1
present 1
prevent 1
punish 1
put 2
rabbit 1
rabbits 1
realises 1
recommend 1
refuses 1
reject 1
relays 1
rest 3
return 4
returning 2
returns 3
revenge 1
risk 1
run 1
save 1
saves 1
scared 1
search 1
see 2
seek 1
send 1
she 1
shed 2
shoot 1
shooting 1
shotguns 2
so 4
some 1
sooner 1
spring 1
stag 3
start 2
starving 1
steal 1
steals 1
still 2
stoat 3
survive 1
surviving 1
takes 1
talons 1
tawny 2
tells 2
that 13
the 83
their 1
them 3
then 7
they 9
thinks 1
this 8
though 3
time 1
to 34
toad 9
together 1
trapped 1
tries 2
trying 2
two 6
unaware 1
undamaged 1
unfortunately 2
unhappy 1
very 1
vet 1
vixen 5
voles 2
wakes 1
wants 1
warden 14
warder 1
was 2
waste 1
way 3
weasel 1
well 2
when 5
where 1
while 14
whistler 5
white 7
who 4
will 1
winter 5
with 8
witness 1
wonders 1
wood 2
would 1
