9920130
/m/02px1dy
/m/02px1dy
Lauren Myracle

{"/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 19
about 4
accidentally 1
after 5
again 1
all 1
alone 1
also 2
an 1
and 29
angela 21
angry 1
another 1
apologizes 1
apparently 1
are 2
arrives 1
as 3
asked 1
asks 1
at 5
bar 2
barrett 1
be 3
because 2
bee 1
beginning 1
believe 1
ben 1
big 1
bikini 1
book 2
boy 2
bra 1
bragging 1
breakfast 1
breaks 1
but 1
by 2
call 1
called 1
calls 1
came 1
cant 1
car 1
cause 1
celebrate 1
chain 1
christianity 1
church 1
class 1
club 1
concludes 1
covered 1
crush 2
dance 2
date 3
day 1
days 2
decide 2
defecated 1
describes 1
develops 1
did 1
didnt 2
discovers 1
ditches 1
doesnt 1
down 2
drama 1
dreams 1
driving 2
drunk 2
dust 1
emergency 1
end 1
english 1
everyone 1
everything 1
everywhere 1
explains 1
fabulous 1
feces 2
feel 1
finally 1
for 3
forever 1
four 1
french 1
friends 5
from 1
front 1
fun 2
fungus 1
gets 3
give 1
gives 1
go 5
goes 2
going 3
gone 1
good 1
got 2
grade 1
grounded 1
had 2
hair 1
half 1
halloween 2
happen 1
has 1
have 2
he 4
help 1
her 22
herself 1
high 1
him 6
his 1
hitting 2
home 4
hot 3
how 3
idea 1
im 3
in 11
informs 1
instant 1
invites 1
is 9
it 3
jam 1
jana 11
jeans 1
just 1
kinnick 1
know 2
known 1
knows 1
later 5
learns 1
left 1
lesbian 2
let 1
letter 2
life 2
limit 1
look 1
low 1
mad 3
maddie 21
made 1
madigan 1
mean 1
meaning 1
meaningful 1
meanwhile 1
meet 1
meeting 1
message 1
messages 1
messaging 2
mold 1
mother 1
naked 1
next 1
night 1
no 1
norman 6
notices 1
now 1
of 12
off 1
on 9
once 1
one 3
or 1
other 2
out 4
party 2
patch 1
permission 1
picture 1
plan 1
planned 1
presumably 1
queen 1
quickly 1
realizes 1
really 1
reason 1
recalling 1
refused 1
reveals 3
ride 2
rob 7
say 1
saying 1
says 2
schlanker 1
school 2
sends 1
several 1
she 17
shirt 1
show 1
side 1
silver 1
since 2
slowing 1
slut 1
snowangel 1
something 1
speed 1
spilt 1
started 1
starting 1
starts 1
states 1
stay 1
stick 1
stops 1
students 2
supposed 2
suspects 1
table 2
taken 1
talked 1
talkinginstant 1
talks 1
teacher 1
tells 5
tenth 1
that 18
the 28
then 1
there 2
they 4
this 3
though 1
three 1
threesome 2
time 2
title 1
to 28
together 3
tonnie 3
took 2
traffic 1
treating 1
trick 1
trio 3
try 1
tubbing 3
two 1
tyler 1
unable 1
up 4
urine 1
via 1
waiting 1
want 1
wants 1
was 7
way 2
went 1
when 5
where 1
which 2
while 4
whitaker 1
will 1
winsome 2
with 14
without 1
wont 1
would 1
wyndham 1
year 1
zoe 13
zoegirl 1
