16747736
/m/0404w62
/m/0404w62
Victor Appleton
1911
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel", "/m/06bm_y": "Edisonade"}
a 5
able 1
adventures 1
africa 3
african 1
airship 3
also 1
an 1
and 6
appearance 1
are 1
as 5
at 1
ball 1
battle 1
be 1
being 2
black 1
bolts 1
bring 1
buffalo 1
builds 1
but 1
by 1
calibrated 1
can 3
caves 1
cloud 2
construction 1
contemporary 1
conventional 1
dark 1
darkest 1
deepest 1
described 1
destroyed 1
different 1
discharge 1
down 1
during 1
electric 4
electricity 1
elephant 1
elephants 1
enough 1
fearsome 1
find 1
fires 1
first 1
for 1
foremost 1
friends 2
general 1
globe 1
group 1
gun 1
hawk 1
he 1
held 1
his 2
hole 1
hostage 1
hunting 3
ice 1
in 7
intensity 1
invention 2
inventions 1
is 8
it 2
itself 1
ivory 1
kill 1
known 1
latest 1
least 1
leaving 1
lethality 1
levels 1
light 1
lightning 1
like 2
lives 1
looked 1
maintain 1
major 1
making 1
maneuverable 1
master 1
meets 1
more 1
much 2
new 2
night 1
notice 1
of 11
off 1
old 1
on 1
out 1
pitched 1
powerful 1
pygmies 2
rampaging 1
range 1
red 4
replace 1
replacement 1
rhinoceroses 1
rifle 5
rifles 1
safari 1
safer 1
same 1
save 1
sends 1
several 1
shoot 1
smaller 1
solid 1
some 1
steamer 1
stories 1
swift 4
that 1
the 17
their 3
they 1
this 3
through 1
times 1
to 6
tom 3
trek 1
tribes 1
two 1
very 1
volume 1
walls 1
was 2
whale 1
which 2
while 1
whose 1
with 2
without 1
working 1
worries 1
