27143170
/m/04t1vgl
/m/04t1vgl
Brian Lumley
1991
a 11
act 1
additionally 1
after 4
alive 1
all 1
allowed 1
almost 1
alone 1
along 1
an 1
ancestor 1
and 13
anyway 1
are 3
armed 1
army 1
arriving 1
as 1
asleep 1
at 3
attempted 1
back 1
banished 1
battle 2
become 1
been 1
begins 1
being 2
both 1
branch 2
brief 1
but 4
by 2
calls 1
cannot 1
case 1
combine 1
commits 1
complex 1
crucified 1
cure 1
darcy 1
dead 3
deals 1
destroying 1
devolved 1
discovers 1
do 1
down 1
driven 1
e 2
earth 1
egg 1
england 1
eventually 1
exorcet 1
experiments 1
explosion 1
face 1
faethors 1
father 1
favor 1
feared 1
ferenczy 1
finds 1
flee 1
for 4
found 1
from 3
gate 2
gone 1
had 1
harry 16
has 1
have 1
he 5
head 1
help 1
her 2
herself 1
him 2
himself 1
his 3
house 1
however 1
humanity 1
hunts 1
icelands 1
immemorial 1
in 8
infected 2
inhaled 1
into 2
is 3
its 1
janos 1
johnny 1
jordan 1
jr 4
karen 4
keogh 1
killed 1
killer 1
killerrapist 1
lady 1
last 3
leaving 1
life 1
literally 1
live 1
living 1
loneliness 1
lord 1
lovers 1
may 1
member 1
most 2
mostly 1
mushrooms 1
necromancerserial 1
necromancy 1
notably 1
now 1
nuclear 2
of 7
on 1
one 3
out 1
penny 4
people 1
plea 1
ploesti 1
powers 2
process 1
resolved 1
restore 1
results 1
resurrection 1
returning 1
risk 1
ruins 1
russian 1
sanderson 1
send 1
sending 1
serial 1
shaitan 2
shaithis 4
shortly 1
side 1
similar 1
slept 1
small 1
some 1
spores 1
starside 1
suicide 1
suspect 1
take 1
that 1
the 19
their 1
this 1
thought 1
through 1
thus 1
time 4
to 12
transformed 1
transmitted 1
trevor 1
two 1
unfortunately 1
vampire 3
vicious 1
wamphyri 2
was 1
which 1
while 1
who 3
with 5
wolf 1
world 1
