8319911
/m/026_9k8
/m/026_9k8
James Patterson
2001
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
40s 1
a 88
abandoned 2
abita 1
able 1
about 8
absorb 1
acting 1
actor 1
actress 1
actually 2
address 1
addresses 1
admires 1
after 15
afternoon 2
afterwards 1
again 5
against 1
agent 2
agents 7
ago 1
airport 3
alex 92
alexs 2
ali 1
all 5
allan 1
allegiance 1
already 1
also 3
although 1
always 2
an 9
and 162
angeles 2
animal 1
animals 1
announces 1
anoint 1
answers 2
any 1
anything 1
apartment 2
appear 1
approach 1
approaches 1
approves 1
are 27
area 2
arrests 1
arrive 2
arrived 2
arrives 5
as 13
ask 1
asked 1
asks 3
asleep 1
assignment 2
assignments 1
at 30
attack 5
attacked 1
attackers 1
attacks 1
attend 2
awaken 1
away 4
back 10
bacteria 1
bandaged 1
barbara 1
based 2
basement 2
bathtub 1
be 15
because 4
becoming 1
bedroom 1
been 17
before 4
beginning 1
begins 1
behavior 1
behind 3
being 4
believed 2
believes 4
bellagio 1
berreiro 1
best 1
beth 1
betsey 3
between 5
bite 1
bites 5
bitten 7
blake 1
blocks 2
blood 8
bloodied 1
bloody 1
bludgeoning 1
blvd 1
boasts 1
bodies 5
body 5
book 1
born 1
both 2
bottle 1
boy 5
boyfriend 3
bradley 2
break 2
breakin 1
bring 1
brother 3
brothers 7
building 1
burns 3
but 20
by 22
california 5
call 1
called 3
caller 1
calling 1
calls 20
can 3
cancels 1
cannot 1
cant 1
capacity 1
car 2
care 1
careful 2
carefully 1
careless 1
carolina 3
case 4
cat 1
catch 1
caught 1
caused 1
cavalierre 4
cavalierres 2
ceiling 1
cellphone 2
cellulitis 1
certain 1
chained 1
channel 1
chapters 1
charles 11
charleston 2
charlotte 1
chateau 1
check 2
checked 1
checking 1
chest 1
children 2
choir 2
chosen 1
church 1
cities 2
claims 2
claw 1
clearance 1
closely 1
closer 1
closet 1
clothes 1
club 2
coast 2
cold 1
college 1
come 7
comes 2
committed 1
commune 1
company 1
concert 2
concurs 1
confirms 3
connection 2
consider 1
contact 1
control 1
conversation 1
convinced 1
costumes 1
could 2
couple 4
craig 9
crash 1
crime 3
cross 50
crowd 1
cruz 2
culture 1
custom 1
dad 1
damon 2
damons 1
danger 1
dangerous 1
daniel 14
daniels 1
dark 3
dating 1
davis 1
day 10
days 6
dc 4
dead 6
death 2
decided 1
decides 6
deduces 1
deep 1
defoe 1
demands 1
dental 2
detached 1
details 1
detective 1
did 1
died 1
dies 1
different 3
dinner 1
director 1
dirty 1
disappearances 1
disappeared 1
discovered 3
discovers 2
dispatched 1
distance 1
distraction 1
do 1
doctor 2
does 1
doesnt 1
doing 1
dolls 1
done 1
dont 1
door 3
doors 2
dos 1
down 10
dozens 3
dr 2
drained 6
dressed 2
drive 1
driver 1
drives 1
driving 1
drops 1
due 1
dumped 1
during 1
dying 1
e 1
each 1
earlier 1
early 1
east 1
eight 1
eleven 1
else 2
elsewhere 1
embalmed 1
emerge 1
end 2
ended 1
energy 2
enough 1
entire 1
erickson 1
ethic 2
even 3
evening 1
eventually 1
everyone 2
everything 3
evidence 1
exactly 1
examine 2
examiner 2
examining 1
executive 1
exhume 1
exit 1
expert 1
expertis 1
explains 1
extraordinary 1
extremely 1
eyes 1
face 2
falls 1
family 8
fang 2
fangs 2
faster 1
father 1
faxed 1
fbi 14
feast 1
feeling 1
feigned 1
fell 1
felt 2
fever 1
few 9
fight 2
finally 2
find 4
finds 1
fingernails 1
fires 1
first 1
fixture 2
flags 1
fled 1
flight 2
flips 1
floor 2
followed 1
followers 1
following 1
follows 4
foothills 3
for 28
force 2
forced 1
form 1
found 6
four 1
fourteen 1
frame 1
francisco 9
freak 1
free 1
frequented 1
fresno 1
friend 8
friends 3
from 14
front 2
fruitless 1
full 1
funeral 2
gag 1
gains 1
gate 1
gentleman 1
geoffrey 1
georgia 1
get 8
gets 8
getting 1
gift 1
girl 7
girls 2
given 2
gives 1
gloria 4
go 11
goes 5
going 8
golden 1
gone 1
good 1
got 1
goth 1
gothic 2
gotten 1
grandmother 1
ground 2
grounds 1
growled 1
growling 1
guns 1
gut 1
had 43
hammer 1
hampton 1
hand 5
handing 1
handsome 1
hang 1
hanged 2
hanging 1
hangs 2
happened 2
hard 1
hardly 1
has 7
have 11
he 65
head 2
headed 1
heard 1
hears 2
hed 1
hell 1
help 1
her 46
hers 1
hes 5
high 2
highest 1
hill 1
him 39
himself 1
his 25
hissed 1
hits 1
hole 1
home 17
hooded 1
hoods 1
hospital 2
hotel 1
hours 2
house 12
how 3
