399019
/m/023mfn
/m/023mfn
Joe Haldeman
1997
a 13
ability 1
able 2
about 1
accelerator 1
after 1
all 1
alliance 1
amelia 1
an 5
and 12
anonymous 1
another 2
anticipated 1
anything 1
are 4
as 4
aspects 1
assassinated 1
asymmetric 1
attempt 1
attempting 1
attempts 1
automated 1
aware 1
background 1
bang 1
basic 1
battle 1
be 1
because 1
being 3
bent 1
big 1
blaze 4
board 1
both 1
by 3
called 1
can 1
character 1
christian 1
civilization 1
class 2
closer 1
comment 1
conflict 1
construction 1
controlled 1
could 2
cult 1
dangerous 1
day 1
deal 1
destroys 1
direct 1
do 2
each 1
earth 2
easy 1
economydriven 1
electronic 1
eliminate 1
else 1
end 2
endless 1
enough 1
entire 1
eventually 1
experience 1
fights 1
find 1
first 2
firstperson 1
for 3
forever 2
from 1
future 1
god 2
government 1
guerrillas 1
hammer 2
harding 1
has 1
hastening 1
have 1
his 1
human 2
humanizing 1
implanted 1
in 6
inventors 1
invincible 1
is 9
it 2
its 1
jacked 1
jacking 2
jacks 1
journal 1
julian 7
kill 1
known 1
larrin 1
lifespan 1
linked 1
little 1
long 1
lover 1
machinery 1
machines 1
made 1
main 2
marty 1
materials 1
mechanic 1
mechanics 2
military 1
miss 1
much 1
nanoforge 1
narration 1
narrator 1
narrowly 1
nations 1
nearly 1
new 1
not 2
novel 1
novels 1
of 12
on 3
one 1
only 2
operates 1
other 2
paper 1
particle 2
partly 2
peace 1
period 1
personality 1
physicist 2
physics 1
place 1
possess 1
potentially 2
presence 1
present 1
problem 2
produce 1
project 2
protagonist 1
psychologically 1
read 1
recruits 1
remotely 2
rest 1
review 1
robots 1
secret 2
sequel 1
series 1
similar 1
simultaneously 1
skulls 1
so 2
soldierboy 1
soldierboys 1
soldiers 1
someone 1
speculated 1
stop 1
stopped 1
submit 1
such 1
suicide 1
survival 1
takes 1
target 1
technology 4
thanks 1
that 6
the 25
their 2
themselves 1
they 2
third 1
thirdperson 1
this 1
though 1
thoughts 1
through 1
throughout 1
time 1
title 1
to 12
told 1
trigger 1
two 1
universe 2
universes 1
using 2
war 3
wars 1
weeks 1
well 1
when 1
which 1
who 3
will 1
with 3
world 3
would 1
