71290
/m/0jd3p
/m/0jd3p
Julian Barnes
1998
a 11
about 2
abroad 1
accessible 1
according 1
affair 1
after 2
age 1
agrarian 1
aims 1
an 2
and 10
anglia 2
any 1
approves 1
are 2
as 2
attraction 1
attractions 1
be 3
becomes 3
best 1
blackmail 1
buildings 1
by 1
called 1
ceo 1
chapter 1
childhood 2
clearly 1
closely 1
cochrane 1
colleagues 1
consequence 1
consider 1
contains 1
continues 1
counties 1
countryside 1
crammed 1
days 1
decades 1
decline 1
depicts 1
depopulated 1
describes 1
discriminating 1
dismiss 1
disrupted 1
divided 1
easily 1
employed 1
endeavour 1
england 18
english 3
englishness 1
entitled 1
entrepreneur 1
especially 1
european 1
eventually 1
everything 1
evidence 1
expelled 1
falls 1
family 1
father 2
figures 1
final 1
find 1
first 1
focuses 1
for 1
forties 1
from 1
fte 1
future 1
gets 2
gigantic 1
growing 1
harrison 1
has 2
having 1
help 1
her 8
highly 1
him 2
himself 1
his 1
historical 1
however 1
huge 1
icons 1
in 7
increasingly 1
independent 1
influence 1
international 1
into 4
is 6
island 2
isle 1
jack 5
jigsaw 1
known 1
later 1
leaves 1
major 1
many 1
marked 1
martha 9
megalomaniac 1
memories 3
nation 1
near 1
novel 1
now 1
oblivion 1
of 15
old 2
on 2
one 1
original 1
out 2
park 3
part 4
parts 1
past 1
paul 1
peaceful 1
people 1
pitman 1
playing 1
political 1
pondering 1
popular 2
postmodern 1
preferences 1
preindustrial 1
project 3
prosper 1
protagonist 1
puzzle 1
questionable 1
quintessentially 1
real 2
reestablish 1
regressed 1
related 1
replica 1
returned 1
rural 1
scandal 1
second 1
selected 1
set 2
setting 1
setup 1
severe 1
sexual 1
she 1
sir 5
sites 1
spends 1
starts 1
state 2
success 1
suffers 1
surrounding 1
that 1
the 25
theme 3
they 1
third 1
this 1
three 1
thus 2
to 11
together 1
tourist 2
tourists 1
traditional 1
travel 1
turn 1
turns 1
ultimately 1
union 1
up 1
vastly 1
village 2
villagers 1
wandering 1
wants 1
what 2
when 2
which 2
while 3
who 1
whole 1
wight 1
with 4
without 2
working 1
years 1
