4937163
/m/0cw163
/m/0cw163
Beatrix Potter
1918
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 6
after 2
an 1
and 7
as 1
asleep 1
author 1
best 1
board 1
but 1
by 2
carried 1
cat 1
city 2
complains 1
country 4
cows 1
dampness 1
difficult 1
digest 1
dinner 1
ends 1
escapes 1
extending 1
falls 1
find 1
finds 2
fit 1
following 1
food 1
for 1
frightening 2
hamper 4
he 4
her 1
him 1
himself 1
his 2
hole 1
home 1
hosted 1
house 2
in 6
invitation 1
is 5
johnny 3
lands 1
large 1
lawnmowers 1
life 1
living 1
made 2
maid 1
midst 1
mouse 2
ndash 1
noises 1
of 4
opened 1
own 1
party 1
pays 1
preference 1
quiet 1
returns 2
rich 1
skirting 1
slips 1
spring 1
stating 1
such 1
tale 1
telling 1
the 15
things 1
through 1
timmy 5
to 8
too 1
townmouse 3
tries 1
vegetables 2
via 1
visit 2
welcome 1
when 1
who 1
willie 2
with 1
