5688754
/m/0d_6bv
/m/0d_6bv
Chris Pierson

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 15
accidentally 1
acid 4
afraid 1
after 4
age 1
agree 2
alive 1
almost 1
already 1
altering 1
although 1
ambush 2
ambushed 1
and 53
angusuk 2
any 1
are 16
arena 1
armachnesti 5
arrest 1
arrested 1
arresting 1
arrive 4
arrives 2
as 5
assault 1
at 6
attacked 1
attempt 2
aurim 2
azar 2
back 4
badly 2
basically 1
bay 1
be 2
because 3
been 1
before 2
begin 1
begins 1
behind 1
being 1
believe 1
beset 1
black 2
blood 1
boat 1
body 1
breathes 1
brethren 5
bringing 1
brother 1
brought 1
burning 1
but 3
by 11
call 1
can 4
cant 1
capital 1
captive 1
capture 3
captured 1
chained 1
choice 1
city 1
claims 1
clan 2
cliff 1
cloudy 1
cold 1
coldhope 2
communicate 2
control 2
creatures 1
dark 2
death 1
decide 1
decides 3
declares 1
declining 1
desert 1
deserted 1
desertion 1
desire 1
destroy 1
determined 1
didnt 3
dies 1
discover 3
discovers 2
dives 1
done 1
down 1
dragon 3
dragons 1
due 2
dueling 1
dummy 1
dying 1
eighteen 1
eldako 14
elf 1
elven 2
elves 9
emperor 1
empire 1
entire 1
escape 4
escaped 1
escapes 1
essana 6
etc 1
even 1
everyone 1
evil 1
exit 1
extinction 1
eye 2
eyes 1
faceless 1
faces 1
faints 1
falls 1
famine 1
fields 1
fight 1
find 2
flayers 2
folk 2
for 10
force 1
forced 3
foretold 1
forfeit 1
forlo 13
four 2
fourth 2
friendly 1
full 2
gathering 1
get 3
gives 1
gloomwing 7
gone 1
grandmother 2
guard 1
had 1
happened 1
hardpressed 1
has 4
have 2
he 15
head 4
held 2
help 2
her 2
hidden 1
him 8
himself 1
his 12
home 1
hoods 1
horax 1
how 1
however 3
hult 11
humans 1
hunter 1
hunters 1
hurt 1
if 2
imperial 3
in 13
injured 1
instead 1
intent 1
into 4
invaded 1
invulnerable 1
is 13
isles 1
it 3
jumping 2
jungle 1
jungles 1
just 2
keep 3
keeper 4
kender 3
kept 1
kill 7
kills 1
kings 1
kristophan 2
lair 2
language 1
last 1
later 2
lead 1
leads 1
league 2
learn 1
learns 1
leave 2
left 2
leg 1
legion 2
lets 1
levitation 1
life 1
like 1
lived 1
lives 1
look 1
lose 1
losing 1
luckily 2
magic 4
magical 3
maladar 7
manage 5
manages 6
many 1
marak 3
massacred 1
master 4
may 1
meanwhile 3
meet 4
melee 1
melted 1
mind 2
minotaurs 1
miscarriage 1
missing 1
moon 2
more 1
mountain 1
mutilated 1
name 2
namer 1
nearing 1
neron 2
night 1
no 2
north 1
notice 2
notices 1
now 2
of 30
oldest 1
on 5
only 4
or 1
other 2
out 1
outnumber 1
over 1
overpower 1
overrun 1
panak 2
part 1
patient 2
patrol 1
peace 1
pendant 2
people 1
pity 1
point 1
prepare 1
preparing 1
prophecy 1
prosperity 1
pursued 1
question 1
quickly 1
rainward 1
recover 1
reestablish 1
rekhaz 3
rendezvous 1
rescue 4
rest 2
resurrect 3
reunited 1
revenge 1
right 3
sacrifice 1
sail 1
same 1
saying 1
scarred 1
scenario 1
scries 1
sea 1
search 2
second 1
secretly 1
see 1
seer 1
sent 1
shadowfiends 7
she 8
shedara 5
shows 2
since 3
six 1
sixty 1
skin 1
slayer 1
sneak 1
snow 2
snowogres 1
snowy 1
so 10
some 2
son 1
soon 2
spare 1
speaker 1
spell 2
spiritwolf 2
spy 1
statues 2
stay 2
stayed 1
still 2
storm 1
storms 1
streets 1
take 3
taken 1
taking 1
taladas 1
teacher 3
tell 2
tells 1
temple 1
that 25
the 96
their 1
them 11
there 2
they 37
theyre 1
though 1
thousands 1
through 1
time 1
to 53
too 1
toppled 1
torture 1
total 1
travel 1
tribe 2
try 1
trying 1
tulukaruk 2
tunnel 3
turn 1
two 2
understand 1
unluckily 1
until 2
untouched 1
up 2
uses 1
valleys 1
venture 1
via 1
village 5
vision 1
wakes 1
want 2
war 1
was 6
watch 1
watcher 1
water 1
way 1
well 1
were 1
what 2
when 3
where 4
which 1
who 5
will 4
with 7
wolfclan 2
woods 3
worse 1
would 2
wouldnt 1
wyrmnamer 3
