2454629
/m/07f8hk
/m/07f8hk
Anthony Trollope


a 14
abandon 1
accepts 1
accompanying 1
affections 1
after 3
again 1
against 1
agrees 1
alice 16
alloyed 1
alluring 1
almost 1
also 1
ambitions 2
ambitious 1
america 1
an 1
and 21
are 2
argues 1
aristocratic 1
as 3
asking 1
at 2
attentions 1
attentive 1
attractive 1
back 1
ball 1
basking 1
be 3
beaux 1
become 1
been 2
before 1
bellfield 3
best 1
better 1
between 1
birth 1
bland 1
broke 1
burgo 5
but 7
by 5
campaign 1
can 1
cannot 1
captain 2
chancellor 1
charismatic 1
cheesacre 1
child 1
children 1
clear 1
comic 1
conceive 1
conniving 1
contrast 1
control 1
could 2
courtship 1
cousin 2
dances 1
darker 1
deal 1
deals 1
decides 1
deep 1
defeat 1
dependable 1
despair 1
despised 1
despite 1
died 1
dismay 1
divorce 1
each 1
election 1
elope 1
eloped 1
else 1
engaged 4
engagement 2
england 1
enjoys 1
escaping 1
european 1
even 3
eventually 2
ever 1
exchequer 1
extremely 1
failure 1
farmer 1
favour 1
fianc 1
finally 2
finds 1
first 1
fitzgerald 1
for 6
fortune 1
frankness 1
friend 1
from 1
fulfills 1
funloving 1
george 7
girls 1
give 1
gives 1
glencora 9
go 2
great 1
greenow 3
grey 2
guilt 1
had 5
happiness 1
hardworking 1
has 1
having 1
he 4
heiress 1
her 14
him 4
his 9
however 1
humour 1
if 2
in 9
increasingly 1
influenced 1
inheritance 1
instead 1
interference 1
involves 2
is 9
it 3
jilt 2
jilts 1
john 9
kate 2
keep 1
knowing 1
lady 1
learning 1
learns 1
life 1
line 1
lively 1
loses 1
love 3
made 1
makes 1
male 1
man 1
marital 1
marriage 3
married 1
marries 2
marry 3
mcluskie 1
misgivings 1
money 2
more 2
mourning 1
mrs 3
murders 1
nearly 1
new 1
noble 2
not 1
now 1
of 13
off 1
often 1
older 1
on 1
only 2
other 2
outspoken 1
over 2
own 1
palliser 1
parliament 1
parliamentary 1
passionately 1
pauper 1
pay 1
pays 1
performance 1
period 1
personality 1
persuades 1
pitting 1
planned 1
plantagenet 6
plots 1
political 1
politician 1
pregnant 1
pressured 1
previously 2
price 1
protector 1
protest 1
protested 1
protests 1
publicly 1
pursues 1
rancorous 1
recently 1
relations 2
renew 1
renews 1
reputation 1
resolve 1
respectable 1
restore 1
rich 2
risk 1
rivalry 1
romance 1
run 1
sacrifices 1
same 1
satisfaction 1
save 1
second 3
secretly 1
see 1
seemed 1
sense 2
she 14
shocked 1
shocks 1
shortcomings 1
side 1
sister 1
situation 1
slightest 1
soldier 1
solidifies 1
some 1
someone 1
son 1
starts 1
stiffnecked 1
still 2
story 2
strengthen 1
substantial 1
successfully 1
suited 1
support 1
switzerland 3
taking 1
tense 1
than 1
that 5
the 21
their 1
them 2
then 1
they 2
third 1
this 1
though 1
through 1
to 30
tour 2
traveling 1
tried 1
trusting 1
twentyfour 1
unambitious 1
under 1
vavasor 1
very 2
wastrel 1
we 1
wealthier 1
wealthy 2
welfare 1
well 1
welldeveloped 1
went 1
when 1
which 2
while 1
who 4
widow 1
wild 1
wins 2
with 10
woman 1
would 1
young 2
