2657135
/m/07vv8c
/m/07vv8c
Aaron Allston

a 12
abduct 1
about 2
academy 1
accompany 1
actions 1
actor 1
actually 1
admiral 1
admits 1
after 6
against 1
agent 1
agents 1
agrees 1
aid 1
airbases 1
alive 1
along 1
also 1
ambushes 2
amount 1
an 6
and 32
anonymous 1
anonymously 1
anything 1
are 1
arrest 1
arrested 1
arrive 2
as 6
assault 1
assist 2
at 6
attack 1
attacks 1
attempt 1
attempts 1
attention 1
atton 1
back 2
bait 2
band 1
bar 1
bars 1
base 3
battle 1
be 5
before 1
begin 2
begins 1
being 1
believing 1
best 1
between 1
black 1
blackmailed 1
board 1
body 1
both 2
break 1
bring 2
brother 3
but 4
by 5
calm 1
can 1
cant 1
captors 1
capture 1
castin 6
catch 1
combat 1
comfort 1
commando 1
computer 1
computers 1
confined 1
considerable 1
contacted 1
continues 1
corrupt 1
coruscant 1
covert 1
covertly 1
cowall 1
crash 1
cyborg 1
damaging 1
data 2
dead 1
death 1
debriefed 1
debriefing 1
decide 1
deep 1
depression 1
destroy 1
destroyer 1
destroying 1
devise 1
dia 5
did 1
dies 1
discover 1
disguise 1
disguised 1
disorder 1
do 2
donn 1
donos 4
down 3
during 3
elaborate 1
empire 1
escape 1
expose 1
face 13
fact 2
fails 1
fearing 1
fight 2
fighter 1
figures 1
finds 1
first 1
fist 1
fleet 1
foiled 1
for 4
force 2
forced 3
forces 2
freighters 1
friend 1
from 3
gara 1
generators 1
given 2
go 1
ground 1
guise 1
hack 1
had 2
halmad 1
han 1
has 2
hawkbat 1
hawkbats 4
he 2
help 2
her 9
herself 1
him 4
himself 1
hints 1
his 8
if 3
imperial 5
implant 1
in 9
injuries 1
install 1
intelligence 4
interceptors 1
into 4
iron 1
is 16
issue 1
it 5
job 1
join 4
joint 1
just 1
keep 1
keeping 1
kell 2
kill 1
killed 1
kiss 4
kuat 2
lara 12
large 2
led 1
lies 1
looked 1
loran 1
loyalty 1
manage 1
manages 3
many 1
marched 1
market 1
massive 2
may 3
meanwhile 3
meet 1
meets 1
members 2
men 1
military 1
mission 6
mortally 1
mps 1
myn 1
nelprin 1
new 7
next 1
not 1
notsil 2
obtain 1
of 11
off 1
offer 4
offered 1
offers 1
officer 1
officers 2
old 1
on 6
one 2
operation 3
opportunity 1
or 1
order 1
other 1
out 2
passes 1
passik 1
petothel 1
phanan 9
pilot 1
pilots 1
pirate 1
pirates 1
planet 1
planning 1
plans 1
plot 1
police 1
pose 2
posttraumatic 1
predict 1
predictions 1
prepares 1
program 3
prove 1
provided 1
provides 1
publicly 1
questions 1
quickly 2
quiet 2
raid 2
raids 2
razor 4
real 1
realize 1
reasons 1
receive 1
recognizes 1
recruit 1
refuses 1
rejects 1
removed 1
rendezvous 2
repenss 1
replacements 1
repness 7
republic 5
rescue 1
resources 1
rest 1
resumes 1
returns 2
reveal 1
revealed 1
reviewing 1
rifle 1
rival 1
rogue 1
romantic 1
sabotages 1
saying 1
scar 1
security 1
see 1
sends 1
sent 2
set 1
severe 2
severely 1
shalla 3
she 3
shield 1
shipyards 1
shocked 1
shoot 1
shoots 1
shot 1
shuttle 1
similar 1
since 1
six 1
skills 1
smuggles 1
sneak 1
sniper 1
so 1
solo 1
some 2
specialist 1
spot 1
squadron 10
stage 1
staged 1
staging 1
star 1
start 1
starts 1
stated 1
steal 2
still 1
stress 1
subduing 1
submitting 1
succeeds 1
successful 2
suffering 1
suffers 1
super 1
system 1
taking 1
targets 1
task 1
tetran 1
that 13
the 51
their 7
them 5
themselves 1
then 2
they 4
this 1
tie 1
ties 1
time 1
to 44
tracer 1
tracker 1
trademark 1
transferred 2
trap 2
tried 1
tries 1
trigit 1
trying 2
two 1
tyria 1
undergo 1
unfortunately 2
up 2
using 1
visit 1
wants 1
warlord 2
was 2
wealth 1
wedge 2
were 1
what 1
when 1
where 1
whether 1
while 3
who 3
will 4
with 5
working 1
world 1
would 1
wounded 1
wraith 8
wraiths 4
xwing 2
zsinj 18
