8728063
/m/027gjx6
/m/027gjx6
Georgette Heyer
1965
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 1
acquires 1
admired 1
admirers 1
agrees 1
also 2
alverstoke 4
and 10
annoy 1
anything 1
are 1
asking 1
assistance 1
astonishment 1
at 1
ball 1
be 1
beautiful 1
beauty 1
been 2
believing 1
breeding 1
brings 1
brothers 1
but 3
by 5
charge 1
charis 3
combined 1
comes 1
country 1
cousin 1
daughter 1
dauntry 1
death 1
debut 1
deeply 1
delighted 1
demanding 1
distant 1
do 1
easily 1
easy 1
end 1
endymion 1
engaging 1
everyone 1
falls 2
family 1
fascinated 1
fashionable 1
felix 1
for 4
frank 1
frederica 3
from 1
further 1
good 1
had 1
handsome 1
has 2
he 2
her 9
herself 3
high 1
him 1
himself 1
his 2
home 1
homely 1
in 2
including 1
indolent 1
initially 1
into 2
introduces 1
is 7
it 1
jessamy 1
ladies 2
launch 1
like 1
liked 1
london 2
long 1
louisa 1
love 1
make 1
manners 3
many 1
marquis 3
married 1
men 1
merriville 2
merrivilles 2
mischief 1
mostly 1
niece 1
of 6
on 1
open 1
out 1
outshone 1
own 4
parents 1
ready 1
relation 1
reluctant 1
sake 1
sakes 1
season 1
selfish 1
share 1
she 3
shelf 1
siblings 1
similar 1
since 1
sister 3
slowly 1
slowwitted 1
society 2
spirits 1
sponsor 2
subsequent 1
sure 1
taken 1
that 1
the 12
their 4
them 1
this 1
to 12
ton 1
two 1
unlike 1
upon 1
well 1
whilst 1
who 1
with 1
young 1
younger 1
youngest 1
