8015436
/m/026nm2x
/m/026nm2x
Lindsey Davis
1998
73 1
a 4
ad 1
add 1
aelianus 1
africa 1
already 1
also 1
an 2
anacrites 1
and 2
apparent 2
as 3
attempts 1
audit 1
being 1
betrothed 1
between 1
brother 2
buy 1
by 1
camillus 1
census 1
collector 1
conducting 1
confusion 1
dead 1
deemed 1
didius 1
drawn 1
during 1
earn 1
eloped 1
ends 1
enough 1
expensive 1
extinct 1
falco 3
find 1
flaws 1
gladiator 1
gladitorial 1
great 1
has 3
have 1
helena 2
herb 1
him 1
himself 1
his 6
into 1
investigation 1
justina 1
justinus 2
leads 1
lion 1
made 1
major 1
make 1
maneating 1
marcus 1
middle 1
money 1
murder 1
need 1
north 1
of 5
offered 1
older 1
on 2
one 3
part 1
partner 1
plan 1
quest 1
ranks 1
relationship 1
respectable 1
rivalry 1
schools 2
services 1
several 1
silphium 1
star 1
stumbles 1
take 1
takes 1
tax 1
the 8
their 1
they 1
thus 1
to 9
too 1
training 1
tripolitania 1
two 1
unfortunately 1
up 1
upon 1
upper 1
vespasian 1
way 1
when 1
which 1
whilst 1
with 2
younger 1
