2307799
/m/072p6l
/m/072p6l
Kage Baker
1997
20000 1
a 24
abilities 1
able 1
about 1
accident 1
actually 1
admits 1
advantage 1
afraid 1
after 1
agent 1
agents 1
airconditioned 1
all 4
along 1
already 3
also 4
although 2
always 1
amazed 1
american 1
an 6
and 20
animals 1
another 1
anything 1
appears 1
are 3
arrested 2
arrive 1
arrives 1
as 10
assigned 1
at 2
attracted 1
augmentation 1
authorities 1
away 3
base 1
basque 1
be 4
because 3
becoming 1
been 7
before 1
began 1
being 1
believing 1
botanist 1
broke 1
burn 1
burnings 1
but 5
by 11
caesar 1
called 1
calling 1
calls 1
can 3
catalogue 1
catholic 1
caused 1
chains 1
change 1
chapter 1
child 2
christian 1
christians 1
cold 1
companions 1
company 3
condemned 1
confronts 1
convince 1
crome 1
cult 3
cyborg 2
cyborgs 2
cynical 1
damaged 1
dark 1
daughter 1
death 2
deathly 1
decided 1
decides 1
deciding 1
deepseated 1
deliver 1
denounces 1
destruction 1
devil 1
diseaseridden 1
dismayed 1
do 1
doddering 1
does 3
doing 1
ecstatic 1
effects 1
elope 1
emits 1
encourages 1
england 3
englishman 1
enjoy 1
entire 1
entourage 1
estate 4
europe 1
even 3
eventually 1
ever 1
existence 1
expedition 2
exploiting 1
extinct 1
eyes 1
face 1
facilitator 1
fake 1
family 1
fanaticism 1
farm 1
fellow 1
fellows 1
field 1
fifteen 1
final 1
finds 2
first 2
fixer 1
flavius 2
flees 1
followed 1
for 12
form 1
found 1
freed 1
freedom 1
friends 1
from 5
fudged 1
full 1
furious 1
further 1
future 2
garden 2
get 1
given 1
go 2
going 2
group 1
had 1
harpole 1
has 11
hatred 1
have 2
having 8
he 14
hedge 1
her 19
herself 1
hija 1
him 4
himself 2
his 14
holly 1
horselike 1
hotel 1
household 2
how 1
human 3
i 1
ideas 1
iden 3
ilex 1
illegitimate 1
immediate 1
immediately 1
in 17
includes 1
increasingly 1
inquisition 2
inquisitors 1
instead 1
intelligent 1
internal 1
into 1
inventoried 1
irreverent 1
is 37
it 4
ive 1
joseph 10
julius 1
jungle 1
just 1
kent 1
killed 2
know 1
later 3
lead 1
leader 2
learn 1
learns 1
let 1
lie 1
life 1
like 3
lived 1
london 2
long 2
longer 1
lookout 1
love 1
luxury 1
machinery 1
man 1
many 1
marry 1
mary 1
massacred 1
matures 1
mayans 1
medicinal 1
member 1
mendoza 11
messiah 1
middleage 1
mind 1
mission 2
more 1
morning 1
mortals 1
move 1
name 4
need 1
nefer 1
new 5
next 1
nicholas 15
no 2
noble 1
normal 1
not 4
nothing 1
novel 1
now 1
of 18
old 3
on 3
one 4
only 2
or 2
originally 1
other 1
others 1
otherwise 1
out 3
own 2
pagan 1
pagans 1
parents 3
part 2
partly 2
passion 1
past 1
payment 1
persuaded 1
philip 1
plant 1
plants 2
play 1
pleased 1
point 1
possible 1
practised 1
preach 1
preaching 2
prepared 1
prevent 1
prince 1
prison 1
problems 1
progresses 1
promises 1
properties 1
prospect 1
psychic 1
pull 1
purpose 1
put 1
queen 1
quickly 1
radiation 1
radical 1
rare 2
real 1
recant 1
recruited 2
region 1
rejuvenating 1
religious 1
remember 1
renegade 1
rescued 1
resembling 1
returned 1
returning 1
returns 1
reveals 1
rites 1
rochester 2
run 1
runs 1
sacrifices 1
sale 1
sample 1
saved 1
screened 1
secret 1
secretary 1
seduce 1
see 1
seen 1
sees 1
selfrepairs 1
sell 1
sent 1
servants 1
settles 2
sexual 1
she 22
simply 2
sin 1
sir 3
situation 1
skill 1
snatched 1
sold 1
some 1
south 1
space 1
spain 3
spanish 1
specialty 1
spend 1
stay 2
stays 1
story 1
strings 1
such 1
supposed 1
suspicious 1
take 1
takes 1
talks 1
tall 1
technician 1
telling 1
tells 1
tests 1
that 11
the 40
their 1
them 2
then 2
they 3
things 1
this 5
though 1
thousands 1
time 2
to 41
top 1
tormentosum 1
torn 1
tortured 1
trained 1
transformation 1
travel 1
treatments 1
tremendous 1
truth 1
turns 1
two 1
unable 1
unknowable 1
unpredictable 1
unusual 1
used 1
usual 1
very 1
village 2
violent 1
virile 1
walter 3
want 1
wanted 1
wants 1
warning 1
was 4
way 1
we 1
wellconnected 1
welleducated 1
were 1
wet 1
what 1
when 3
where 1
which 3
while 1
who 9
whose 1
will 3
with 6
without 1
witness 1
witnessed 1
work 1
world 3
worldweary 1
would 2
year 1
years 3
yet 1
