1353004
/m/04w25z
/m/04w25z
Leslie Charteris
1935
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
1 1
12 1
128 3
133 3
134 1
163 1
17 1
175nbsplbs 1
200000 1
21st 1
27 1
31 2
32 1
33 1
a 24
abducted 1
about 1
above 1
accompanied 1
accused 1
active 1
actually 2
adventure 2
adventures 3
after 2
aftermath 1
age 1
alias 1
all 1
although 1
amendment 1
american 3
americaninfluenced 1
among 1
an 3
and 17
appears 1
are 1
around 1
arrived 1
as 9
assassinating 1
at 1
back 2
backing 1
barer 1
battles 1
be 7
beautiful 1
been 3
befriends 1
begins 1
being 5
between 1
big 4
blood 1
boodle 1
book 6
boss 1
bosses 1
brand 1
brief 1
britishinfluenced 1
bullet 1
burl 1
but 1
by 6
cache 1
calls 1
cant 1
career 1
central 1
certain 1
characters 1
charteris 5
chief 1
child 1
chronology 2
city 5
claim 1
claims 2
claud 1
clearly 1
coldblooded 1
collections 1
completely 1
contains 1
continuity 1
copkiller 1
corp 1
correct 2
corrupt 1
corruption 1
courtroom 1
created 1
crime 3
culprit 1
daring 1
dating 2
deals 1
death 1
december 2
deep 1
department 1
described 1
description 1
detailed 1
discover 1
dislikes 1
dividing 1
dossier 3
due 1
during 2
each 1
earlier 2
edwards 2
effect 1
emotional 1
ends 1
errors 1
escape 1
europe 2
eustace 1
events 2
eventually 1
evildoers 1
examples 1
exchange 2
experiences 1
fall 1
far 1
fate 1
fay 2
features 1
featuring 1
fellow 4
few 1
fiction 1
figure 1
finally 1
finds 1
first 3
five 1
follow 1
followed 1
foot 1
for 7
found 1
free 1
french 1
from 1
gangland 1
gangster 1
gangsters 1
give 1
given 1
gives 1
goal 1
goes 3
going 1
had 3
happens 1
has 5
have 1
he 10
highranking 1
him 2
himself 2
his 7
history 1
hit 1
holm 1
however 1
httpwwwlofficiercomsaint3html 1
idealistic 1
identifies 1
identity 2
if 2
in 30
inactive 1
include 1
indicates 1
indicating 2
inspector 1
intervention 1
inthemed 1
into 3
introduction 2
is 14
it 3
jersey 1
job 1
justice 1
kestry 3
kidnapped 1
killer 1
killing 1
kingpin 1
kisses 1
known 1
knows 1
last 2
later 3
learns 2
left 1
letter 2
liked 1
line 1
literary 1
location 1
london 1
lord 1
lords 1
love 1
made 2
magazine 1
main 1
man 2
manages 1
manipulated 1
marks 1
meaning 1
meet 3
miami 1
million 2
mob 1
money 1
months 1
more 1
most 2
much 1
murdered 1
must 1
named 1
nevertheless 1
new 9
not 2
notes 1
novel 7
novellas 1
novels 1
nypd 1
of 23
off 1
offer 2
officials 1
on 5
one 2
only 3
or 2
order 1
orders 1
originally 1
other 1
out 1
over 1
own 1
page 1
passed 1
past 1
patricia 1
person 1
phantom 1
physical 1
place 7
platonic 1
poignantly 1
point 1
police 2
policeman 1
presumably 1
proceeds 1
process 1
prohibition 1
proverbial 1
published 1
publishing 1
question 1
rather 1
readers 2
receiving 1
recently 1
refer 1
references 1
refuse 2
relocated 1
remainder 1
remaining 1
remote 1
repealed 1
reprint 1
rescues 1
return 1
reveal 1
revealed 1
rewrote 1
rich 1
ride 1
role 1
saint 16
scotland 1
see 1
seems 1
series 2
sets 1
several 1
shared 1
short 2
shot 1
should 1
shoulder 1
similarly 1
simon 3
since 1
six 3
some 1
son 1
split 1
states 1
stories 2
story 4
such 1
suggests 1
summary 1
suspect 1
take 2
taken 2
takes 5
teal 1
tell 1
templar 22
than 1
thanks 1
that 13
the 70
their 1
then 1
they 1
this 5
thought 1
thuggish 1
thus 1
tiger 3
time 1
to 27
toys 1
travels 1
two 3
ultimate 1
unique 1
united 1
up 1
very 2
vigilante 1
violent 1
visit 1
warning 1
was 4
way 1
went 1
west 1
when 2
where 1
which 3
who 6
whole 1
whose 1
will 1
with 2
woman 1
words 1
working 2
world 1
would 5
wound 1
written 2
yard 1
year 1
years 5
yet 2
york 7
young 1
