28667164
/m/0czch5x
/m/0czch5x
David Liss
2009-07-07
1722 2
a 4
after 1
allpowerful 1
along 2
an 2
and 5
as 1
assortment 1
attempts 1
before 1
begins 1
betelnut 1
bigamist 1
bisexual 1
board 1
by 1
called 1
cant 1
characters 1
chewing 1
clerk 1
cobb 3
colorful 1
company 3
corruption 1
court 1
dangerous 1
direction 1
director 1
directors 1
east 1
eight 1
elaborate 1
election 1
enigmatic 1
events 1
exactly 1
extortion 1
family 1
final 1
finds 1
for 3
forced 1
friends 1
general 1
genre 1
guild 1
he 1
himself 1
historical 1
in 3
including 1
india 1
infiltrates 1
installment 1
international 1
inventor 1
involved 1
is 4
its 1
jerome 1
learn 1
london 1
looking 1
master 1
meeting 1
meets 1
memoir 1
months 1
not 1
november 1
obsessivecompulsive 1
of 7
or 2
pages 1
proprietors 1
provided 1
puzzling 1
revealed 1
say 1
scheme 1
secrets 1
setting 1
several 1
silkweavers 1
spectacle 1
spy 2
steal 1
surrounding 1
that 1
the 12
third 1
this 3
time 1
to 2
trouble 1
truth 1
typical 1
under 1
until 1
upcoming 1
varieties 1
victimized 1
way 1
weaver 4
what 1
why 1
with 1
wont 1
