1327856
/m/04t2xr
/m/04t2xr
Alastair Reynolds
2004
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
130s 1
15 1
150s 1
300 1
a 11
about 1
accepting 1
accident 1
agency 1
agent 1
alien 1
almost 1
alternate 1
alternatehistory 1
american 1
an 6
ancient 1
and 8
andr 1
another 2
archaeology 1
are 1
as 2
assignment 1
at 2
auger 2
band 1
bandmate 1
base 1
be 1
begins 1
behind 2
beneath 1
bizarre 1
blanchard 1
but 2
by 4
career 2
caught 1
certain 2
circumstances 1
command 1
concerned 1
containing 1
contingencies 1
continuing 1
custine 2
death 3
deposed 1
detectives 1
died 1
dig 1
distant 1
documents 1
during 1
earlier 1
earn 1
earth 2
end 1
entails 1
even 1
exempt 1
exgirlfriend 1
expatriate 1
face 1
failed 1
farflung 1
fascist 1
finds 2
floyd 4
france 2
from 2
frozen 1
future 1
gained 1
galaxy 1
german 1
get 1
go 1
greta 1
has 2
have 4
he 2
her 5
herself 1
high 2
hired 1
his 3
hitler 1
however 1
ii 1
in 8
income 1
infighting 1
into 1
invasion 1
investigate 2
is 12
it 2
jazz 2
knowing 1
landlord 2
left 2
levels 1
living 1
maneuvered 1
mars 1
martian 1
mission 2
moon 1
more 2
murder 1
musical 1
musician 1
mysterious 1
nazi 1
not 1
novel 2
of 13
off 1
on 2
one 2
opens 2
other 1
otherwise 1
out 1
paris 3
parisian 1
part 2
parties 1
phobos 1
police 1
political 2
portal 2
power 1
present 1
prison 1
private 1
pursue 1
relic 1
relieved 1
responsible 1
results 1
retrieve 1
risk 1
ruins 1
scene 1
second 1
secret 1
security 1
seemingly 1
sent 1
she 8
since 1
so 1
some 1
stagnated 1
stalled 1
students 1
summoned 1
supplemental 1
susan 2
taken 1
technology 1
tenants 1
than 1
that 7
the 17
things 1
this 2
thoughts 1
through 1
time 2
tin 1
to 12
told 1
topsecret 1
touring 1
trial 1
tribunal 1
two 1
under 1
underground 1
up 1
verity 1
version 2
war 1
was 2
wendell 1
what 1
when 5
which 1
white 2
who 1
whose 1
willing 1
with 2
without 2
working 1
world 3
would 1
written 1
year 1
years 2
