4833048
/m/0cq3tl
/m/0cq3tl
Jeff Smith
1995-05-29
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/01z4y": "Comedy", "/m/09kqc": "Humour"}
a 18
about 1
addresses 1
adjourns 1
after 3
afterwards 1
alive 1
an 1
and 23
angry 1
announcing 1
annual 1
apart 1
appears 1
are 8
army 1
arrival 2
arrive 2
arrives 3
as 3
asks 1
astonishment 1
at 8
attack 2
attacked 1
attempt 1
away 4
back 1
bag 1
bald 1
bar 2
barely 1
barman 1
barrelhaven 2
be 1
beautiful 1
been 1
before 2
beginning 1
being 1
believe 1
ben 8
blanket 2
bone 18
boneville 1
boots 1
breath 1
brimstone 1
brown 1
bug 1
burnt 1
but 4
by 6
called 1
can 1
cape 1
care 1
caught 1
chance 1
chase 2
chases 2
chest 1
chores 1
cigars 1
claims 1
clean 1
clear 1
clearly 1
cliff 1
climbing 1
cloak 1
collect 1
comes 1
coming 1
continue 1
cost 1
council 1
counsel 1
cousins 2
coveted 1
cow 1
creature 3
creatures 9
day 1
decides 1
description 1
desert 2
despite 2
didnt 1
discovers 2
distrustful 1
do 1
dollars 1
donning 1
down 3
dragon 10
drinks 1
driving 1
each 1
earlier 1
early 1
eat 1
eggs 1
en 1
encounters 1
ends 1
escape 1
escapes 1
every 1
face 1
fair 2
falling 1
falls 1
familiar 1
farm 5
farmstead 1
fiery 1
fights 1
figure 1
find 3
finding 1
finds 2
fire 1
first 1
following 2
fone 21
for 5
forced 1
found 1
from 5
get 3
gets 2
give 1
gives 1
giving 1
go 1
goes 1
goods 1
grandmother 1
granma 6
great 5
greedy 1
handdrawn 1
hat 3
have 1
he 15
helping 2
her 9
high 1
him 4
himself 1
his 13
home 1
hood 1
hooded 3
hot 1
house 6
however 2
immediately 1
in 8
instantly 2
instead 1
into 1
is 8
it 4
its 2
kids 2
kingdok 1
know 1
last 1
leads 1
leaves 1
life 1
locusts 1
lookout 1
lost 1
lucius 3
make 1
making 1
map 2
marking 1
meanwhile 3
meeting 1
meets 4
miz 3
money 2
more 1
much 1
mysterious 2
name 2
nearby 1
now 1
of 15
off 7
on 6
one 3
opportunity 1
other 2
ounce 1
out 2
over 1
overhears 1
owner 1
paper 1
pay 1
payphoney 1
person 1
phoney 10
plans 1
playing 1
point 1
possum 3
prior 1
process 1
products 1
proprietor 1
pulled 1
race 1
rat 11
red 4
refuses 1
remains 1
removing 1
rescued 1
residents 1
return 1
reunited 2
reveals 1
rich 1
ripped 1
rose 2
route 1
ruler 1
run 1
runs 1
saves 1
scaring 1
scythe 1
search 1
seeing 2
seek 2
seemingly 1
sending 1
services 1
sets 1
she 3
shock 1
short 1
should 1
shows 1
side 3
small 1
smell 1
smiley 4
smitten 1
smoldering 1
sneaks 1
snow 1
so 1
some 3
sons 2
soon 1
soul 1
spontaneous 1
spring 5
star 1
stay 1
staying 1
strangely 1
suggests 1
supplies 1
surrounded 1
swarm 1
tab 1
tavern 2
ted 2
tell 1
tells 2
that 4
the 64
their 2
them 3
then 2
there 1
they 4
thorn 11
three 3
to 29
told 1
town 3
trail 2
tries 1
trousers 1
truth 1
two 5
under 2
until 1
up 2
use 2
valley 4
villagers 1
visited 1
want 1
warns 1
water 1
way 1
ways 1
wears 1
when 5
which 3
while 4
who 5
whom 1
why 1
wields 1
winter 2
wise 1
with 12
woman 1
work 1
working 2
worthless 1
wrecked 1
wrong 2
