1591008
/m/05dyd7
/m/05dyd7
George Gissing
1891
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10000 1
1500 1
18th 1
5000 1
a 24
about 2
accept 1
accepts 1
according 1
acerbic 1
actions 1
advancement 1
after 2
against 1
alarmingly 1
alfred 3
alfreds 1
all 2
almost 1
already 1
although 1
always 1
ambition 1
amy 3
amys 1
an 3
and 22
any 1
appropriate 1
are 1
areas 1
article 1
articles 1
as 7
assistant 1
at 1
attempts 1
authors 1
available 1
be 3
beauty 1
became 1
beneficial 1
benefit 1
bent 1
besides 1
between 1
book 1
brief 1
but 3
by 10
cannot 1
capabilities 1
capable 1
career 4
central 1
century 1
cerebral 1
certainly 1
characters 1
circle 1
circumstances 2
clement 1
commercial 1
consequent 1
contemporary 1
contrasted 1
convenient 1
conversation 1
could 1
countenance 1
course 1
create 1
criticand 1
crucial 1
culminate 1
current 1
cynical 1
daughter 1
deals 1
death 4
deliberately 1
desirable 1
despise 1
detected 1
develops 1
did 1
disposition 1
driven 2
earlier 1
edited 1
edwin 1
element 1
encouraged 1
end 1
ends 1
engagement 1
enough 2
even 1
events 1
eventually 3
existed 1
experienced 1
extends 1
eyesight 1
fact 3
fadge 2
fails 1
fall 1
family 1
father 1
feeling 2
financial 2
following 2
for 9
former 1
friendship 1
from 1
generosity 1
gissing 2
good 1
grace 1
grub 3
hack 1
hackwriting 1
had 1
hand 1
hardworking 1
has 3
haunted 1
have 1
he 7
heightened 1
her 3
high 1
him 1
himself 1
his 9
however 2
husbands 1
ie 1
illhealth 1
in 12
includes 1
indeed 1
inflexibly 1
inheritance 1
initial 1
intellectual 1
into 1
invalid 1
is 12
it 3
its 3
itself 1
jasper 1
john 2
journalist 1
key 1
kind 1
know 1
lacking 1
lastgasp 1
late 1
left 2
legacy 2
life 1
limited 1
literary 3
literature 1
london 2
longer 2
love 3
loves 1
man 3
marian 5
marians 4
marriage 6
married 1
marry 1
marrying 1
measure 1
meet 1
men 1
mere 1
merely 1
mild 1
milvain 13
milvains 2
missing 1
modern 2
money 1
more 3
most 1
mothers 1
motivated 1
move 1
much 1
must 1
narrator 2
natural 2
navigating 1
ne 1
networks 1
never 1
new 1
newspaper 1
no 2
not 1
noted 1
novel 1
novelist 1
novels 1
objection 1
obstacle 1
of 13
on 2
only 2
opens 1
opportunity 2
other 1
others 1
pair 1
pander 1
paper 1
parent 1
people 1
periodicals 1
personality 1
popular 2
position 1
possibility 1
poverty 2
preference 1
prefers 1
produced 1
profound 1
prospects 1
proves 1
provide 1
provided 1
provides 1
pure 1
purpose 1
question 1
reader 1
reardon 4
reardons 1
reason 1
receipt 1
reconciliation 1
reduced 1
refers 1
refuses 2
regard 1
reporting 1
repulsive 1
research 1
resentment 1
respects 1
result 2
resulting 1
reveals 1
rich 1
romantic 1
ruin 1
rule 1
said 2
same 1
semiscrupulous 1
separate 1
sexual 1
sharply 1
she 1
should 1
shy 1
sisters 1
slighted 1
slights 1
social 2
some 1
something 1
species 1
speed 1
standardsand 1
states 1
story 1
street 4
strength 1
strong 1
succeed 1
synonymous 1
talent 1
target 1
tastes 1
that 7
the 26
their 1
this 5
though 1
time 2
title 1
to 23
too 1
toward 1
twenty 1
two 2
unclesjohn 1
ungentlemanly 1
union 1
until 1
upon 1
venture 1
victorian 1
was 1
wasnt 1
way 1
wealthy 1
well 1
whether 1
which 1
who 3
wife 2
will 1
with 5
within 1
woman 3
work 1
world 2
write 1
writers 1
writes 1
writing 1
years 1
you 1
young 2
yule 4
yules 2
