989049
/m/03x2bj
/m/03x2bj
Thomas Hardy
1872
a 8
acceptance 1
accepts 1
accompaniment 1
accomplished 1
activities 1
affections 1
affluence 1
after 1
an 2
and 12
are 1
as 2
asks 1
asyetunaware 1
at 5
band 2
beauty 1
becomes 1
brief 1
but 3
by 1
celebrate 1
chance 1
chapter 1
choir 2
choirincluding 1
christmas 1
church 2
comely 1
concerns 1
conclusion 1
couple 1
day 4
dewy 2
dewymaking 1
dick 6
discovers 1
effective 1
end 1
ends 1
engaged 1
engagement 1
entangled 1
eve 1
faint 1
falls 1
fancy 8
farmer 1
father 2
fiddlers 1
final 3
first 1
flirtation 1
for 1
gained 1
gentlest 1
give 1
grandfather 1
greenwood 1
group 1
guilt 1
hardy 1
has 3
he 1
heart 1
her 5
him 1
himself 1
his 2
home 1
however 2
humorous 1
impetuously 1
in 1
including 1
informs 1
insinuate 1
intends 1
into 1
introduces 1
is 3
joyful 1
lead 1
life 2
little 1
marriage 1
married 1
marry 1
maybold 3
meanwhile 1
meeting 1
melancholy 1
mellstock 3
mistress 1
modern 1
mood 1
more 1
most 1
mr 2
musical 1
musicians 1
negotiate 1
never 1
new 2
next 1
note 1
novel 3
objection 1
of 10
often 1
on 1
one 1
opens 1
organ 2
other 1
overcome 1
parish 2
pastoral 1
player 1
plays 1
plot 1
portrait 1
potential 1
proposal 1
racked 1
reader 1
relative 1
reluctantly 1
reminded 1
replace 1
rest 2
reuben 2
rich 1
romantically 1
rounds 1
rustics 1
school 1
schoolhouse 1
secret 1
secretly 1
seeks 1
seems 1
seen 1
services 1
she 3
sight 1
simultaneously 1
singers 1
smitten 1
strategem 1
suitors 1
sunday 1
tell 1
temptation 1
that 2
the 33
their 1
they 1
this 1
to 11
touch 1
traditional 1
tranter 1
tree 1
two 1
under 1
vicar 5
village 1
visit 1
way 1
wedding 1
when 1
while 1
whom 1
william 2
win 1
with 5
withdrawn 1
withdraws 1
would 1
young 1
