9597831
/m/02plbwz
/m/02plbwz
Charles Stross
2007-10-02
26 1
41 1
a 19
action 1
addressed 2
an 1
and 12
antagonist 1
are 2
as 7
associates 3
at 3
avalon 1
backboneincluding 1
bait 1
band 1
bank 2
banker 1
be 2
bed 1
been 2
between 2
blacknet 1
blue 1
book 1
both 1
but 1
by 3
called 1
capture 1
central 1
chapters 1
chest 1
chinese 2
closes 1
combat 1
committed 1
company 1
compromised 2
confrontation 1
conspiracy 1
contrast 1
counterterrorism 1
created 1
credentials 1
cryptographic 2
cybercrime 1
deep 1
develop 1
discovered 1
divided 1
dragon 1
during 1
earn 1
elaine 4
email 3
end 1
entirety 1
espionage 2
european 2
euros 1
eventually 1
exchange 1
expose 1
eyes 1
fall 1
faux 1
final 1
financial 1
fire 1
for 9
forces 1
four 1
from 3
front 1
game 4
gamer 2
geek 1
government 1
hackers 1
hackman 3
had 1
half 1
has 3
have 1
hayek 4
he 1
hid 1
hinges 1
his 1
hospital 1
identity 3
implications 1
implying 1
in 5
incident 1
inevitably 1
initial 2
initially 1
inside 1
interests 1
international 1
investigation 1
is 18
it 8
items 1
its 1
jack 6
job 1
join 1
keys 2
keyservers 1
larger 1
later 2
latter 1
leaked 1
learned 2
led 1
less 1
listing 1
logistical 1
longer 1
macdonald 2
main 2
man 1
marcus 1
massively 1
million 1
missions 1
mmorpg 1
mole 4
money 1
more 1
much 1
multiplayer 1
mystery 1
network 1
nigel 3
nigerian 1
no 1
noticed 1
novel 2
occurs 1
of 7
offer 1
on 1
online 1
opens 1
options 1
or 2
orcs 1
order 1
own 1
plc 1
plot 1
point 2
police 1
position 1
prestige 1
price 1
programmer 3
protagonists 1
puppet 1
put 1
reader 1
real 1
recovering 1
red 2
reed 1
removed 1
resembles 1
revealed 4
robbery 3
roleplaying 1
romance 1
root 1
said 1
scam 1
sections 2
seemingly 1
seen 1
segments 2
sent 1
separate 1
sequence 1
set 1
sets 1
several 1
shadow 2
shot 1
simple 1
simply 1
sock 1
spooks 1
stage 2
staged 1
stock 1
story 1
storylines 1
strategic 1
subsequently 1
successfully 1
sue 1
support 1
team 3
that 11
the 29
then 3
these 1
thing 1
this 5
thousand 1
three 1
through 1
to 10
took 1
track 1
twice 1
uncover 1
use 1
using 2
when 1
where 1
which 2
while 1
who 2
whole 1
with 2
wool 1
workathome 1
worth 1
