3187900
/m/08xzq4
/m/08xzq4
Garry Kilworth

a 40
able 1
about 5
acam 11
accusations 1
adapting 1
adventure 1
advice 1
after 12
afterwards 1
again 1
against 2
age 1
agrees 2
aho 2
albino 1
all 3
almost 1
alone 1
already 1
also 2
although 1
always 1
american 1
an 11
ancient 1
and 78
animals 2
any 2
ao 1
appearance 1
appears 1
approach 1
approaches 3
are 6
around 3
as 19
asac 15
asalla 1
ask 1
assailed 1
assistant 1
at 4
attacked 2
attacks 1
attempt 1
attempts 2
away 6
back 3
badger 2
balance 1
barely 2
barn 1
barring 1
bars 1
be 5
because 1
become 4
becomes 3
been 7
before 2
begin 1
begins 1
being 5
believe 2
believing 1
bernard 1
betsy 4
big 1
birth 2
bites 1
biting 1
black 1
blizzard 2
blood 1
bones 1
born 1
breaker 4
breaking 1
breaks 2
brief 1
bringing 2
but 13
by 12
cage 1
call 1
calls 1
camio 17
can 1
cannibal 1
capture 1
captured 1
catch 1
changed 1
chase 1
chased 1
city 1
clamping 1
clamps 1
close 2
closer 1
clouds 1
clutches 1
cold 1
collapses 1
collar 2
collides 1
comes 2
commits 1
completely 1
compound 2
conclusion 1
condition 2
confront 1
consciousness 1
constructed 1
consulted 1
contemplating 1
continues 1
convinced 2
corner 1
corners 1
could 2
countryside 2
create 1
creature 1
cross 1
crude 1
cubs 5
damp 1
dangerous 1
day 2
days 1
death 3
decide 2
decides 3
deeper 1
deity 1
departs 1
deposed 1
depths 1
desire 1
destabilizes 1
did 1
dies 2
directly 1
disappointed 1
dismay 1
dispersal 1
distance 1
distinction 1
dizzy 1
do 2
does 1
dog 3
door 1
down 6
drag 1
driven 1
drives 2
drop 1
dying 1
ear 2
earth 9
elude 1
emotionally 1
encounter 3
encounters 2
ends 1
enough 1
ermine 1
escape 3
escaped 2
escapes 5
escaping 1
established 1
even 1
events 1
eventually 3
ever 1
evil 1
exit 1
expertly 1
explains 1
expose 1
expresses 1
fall 1
falling 1
falls 3
family 4
far 2
farm 5
feared 1
fears 1
feels 2
feigns 1
field 1
fights 1
finally 5
find 4
finds 4
first 3
flee 2
flees 4
flock 1
follow 1
followed 1
follows 2
food 2
for 7
forages 1
foraging 1
found 1
four 1
fox 10
foxes 2
foxhound 3
free 1
friendly 1
frightened 1
from 5
frozen 1
further 1
gar 1
garden 1
geese 1
gender 1
get 2
giant 4
give 1
given 2
gives 2
go 2
goes 6
gone 1
good 1
got 1
greater 1
grip 1
grow 1
guilty 1
gunfire 1
had 13
happened 1
happiness 1
happy 1
has 10
have 3
having 1
he 36
heading 1
heads 1
heap 1
hearing 1
heels 1
held 1
help 2
her 43
here 1
herself 5
him 17
himself 1
hind 1
his 39
hold 1
home 7
hops 1
hound 2
house 1
however 3
human 2
humans 7
hunt 1
hunts 1
ice 2
icy 1
in 19
inform 1
informing 1
informs 2
injured 1
injuries 1
innocent 1
insists 1
instead 1
