466470
/m/02cxsw
/m/02cxsw
Jasper Fforde
2001-07-19
{"/m/0mz2": "Alternate history", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 17
able 1
about 1
accompanying 1
acheron 1
acquaintance 1
acquainted 1
actual 1
advice 1
after 1
agent 1
aids 1
all 1
allan 1
allows 1
also 1
alters 1
an 2
and 17
another 1
any 1
are 4
arrive 1
as 3
at 2
aunt 1
authorship 1
badly 1
be 1
became 1
because 2
begins 1
behind 1
bertha 1
blackmail 1
board 1
book 2
briefly 1
british 1
bullet 1
burned 1
but 4
by 3
capturing 1
century 1
change 1
changes 1
character 2
charles 1
child 1
chronoguard 1
church 1
chuzzlewit 2
close 1
comes 1
company 1
copies 1
copy 1
corporation 2
cousin 1
created 1
crimean 2
daughter 1
death 1
debated 1
demands 1
detective 1
dickens 1
discovers 1
dispense 1
dodo 1
during 1
edgar 1
ending 3
ends 2
england 2
enter 1
entered 1
especially 1
eyre 6
facing 1
falls 1
father 1
fatherly 1
few 1
fianc 1
fiction 1
fictional 1
find 1
for 2
former 1
fought 1
from 3
future 2
game 1
gang 1
goliath 2
gone 1
grievously 1
hades 7
hall 1
handkerchief 1
has 2
have 1
help 1
her 10
him 3
himself 2
his 3
home 1
hospital 1
hotly 1
identify 1
imperial 1
imprison 1
in 11
india 1
injured 2
inspire 1
instead 1
instructed 1
interrupts 1
into 1
investigate 1
is 11
items 1
itself 1
jack 2
jacket 1
jane 7
job 1
john 1
kidnaps 1
killing 1
kills 1
landen 1
lawyer 1
leaving 1
literary 3
literatec 1
lives 1
london 1
mad 1
made 1
manuscript 3
married 1
marry 1
martin 2
match 1
met 1
minor 1
missionary 1
monogrammed 1
monopoly 1
morals 1
more 1
mr 1
much 1
murder 1
mycroft 3
mysterious 1
named 1
nation 1
new 1
next 9
not 1
novel 3
of 16
one 2
only 1
operative 1
order 2
original 4
other 3
own 1
parallel 1
paramedics 1
parkelaine 3
people 2
pet 1
pickwick 1
plot 1
poe 1
poems 1
police 1
polly 3
portal 4
positive 1
powerful 1
process 1
promoted 1
prose 4
public 1
pursues 1
quaverley 1
question 1
questionable 1
questions 1
raven 1
reaction 1
recognizes 1
reconciled 1
recovering 1
reference 1
release 1
renegade 1
renews 1
repercussions 1
rescue 1
returning 1
rivers 1
rochester 4
run 1
russia 1
saved 1
schitt 2
self 1
separate 1
shakespearean 1
she 7
shows 1
single 1
so 1
socialist 1
some 1
sometimes 1
specops12 1
st 1
stakeout 1
state 1
stops 1
story 1
stranger 1
stuck 1
succeeds 1
swindon 1
take 1
temporarily 1
text 2
than 1
that 4
the 33
theft 1
there 3
these 1
they 1
thief 1
thirtysix 1
thornfield 1
those 1
thursday 3
to 21
town 1
trace 1
trouble 1
turns 1
uncertain 1
uncle 1
universe 1
until 1
up 2
uses 1
version 2
veteran 1
wales 2
war 2
wars 1
was 1
weaponproducing 1
wedding 1
when 1
where 1
which 1
while 2
wife 1
will 1
with 7
woman 1
words 1
wordsworth 1
work 2
works 1
world 2
