1334565
/m/04tlqw
/m/04tlqw
Patricia Highsmith
1961
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 24
about 5
accepts 1
accompanied 1
acquaintance 1
acted 1
acting 1
actually 1
after 1
against 1
aggressively 1
alone 1
already 2
also 2
alter 1
an 3
and 39
annabelle 22
another 2
any 1
anyone 2
apartment 3
appalled 1
are 3
argument 2
arrive 1
arrives 3
art 1
as 5
ask 1
asking 1
assaults 1
assumes 1
astonishing 1
at 11
attacked 1
attempts 1
away 2
back 3
badly 1
barber 1
be 1
because 1
becomes 1
bed 1
been 1
beginning 1
being 3
believing 2
below 1
betrayal 1
bill 1
birth 1
blaming 1
blind 1
block 1
boarding 3
body 1
both 2
bought 2
breaking 2
breaks 2
brennan 1
brutish 1
building 1
builds 1
but 2
buys 1
by 6
call 1
called 1
calls 2
calmly 1
car 1
carmichael 1
chooses 1
circumstances 1
city 1
claim 1
clothes 1
come 1
complex 1
confronts 1
confusion 1
consents 1
consequently 1
considers 2
convinced 2
cooks 1
could 1
course 1
coworkers 1
crews 1
david 8
day 1
dead 1
death 3
degenerating 1
delaney 11
demanding 1
denial 1
desperate 1
despite 1
deteriorate 1
did 1
dinner 2
directions 1
directly 1
discovers 3
discuss 1
does 2
doing 1
double 1
doubt 1
down 3
drinking 1
drives 1
due 1
during 2
early 1
ed 2
effie 7
ego 1
enraged 1
ensure 1
enter 1
eventually 4
ever 2
every 1
facade 1
fact 2
factory 1
failing 1
failure 3
falls 1
family 1
fancy 1
far 1
fight 1
figure 1
finds 1
fire 1
first 1
flies 1
floor 1
follow 1
following 1
for 7
fought 1
freelance 1
frequently 1
from 2
furnished 1
further 1
future 1
gerald 3
gets 1
getting 1
give 2
given 2
gives 1
goes 4
grant 2
greenhouse 1
had 3
hallway 1
has 9
have 2
he 37
head 1
hearing 1
heavily 1
heavy 1
her 10
him 14
himself 5
his 25
home 2
hope 2
house 12
however 2
husband 2
identity 2
if 3
imaginary 1
imagination 1
in 19
inadvertently 1
incident 1
infatuation 1
insanity 1
insists 3
instead 1
into 5
invalid 1
irony 1
is 14
isolated 1
it 3
its 1
job 4
journalist 1
jumps 1
just 3
keeping 1
keeps 1
kelsey 22
killed 2
knew 1
knocked 1
know 2
lapses 1
latter 1
leads 1
leave 4
leaves 2
ledge 1
leisurely 1
letter 2
letters 1
lies 1
life 4
lives 3
love 3
lying 1
made 1
make 1
making 1
man 2
married 1
marry 3
matters 1
mccartney 1
meet 1
meeting 1
memory 1
men 1
mind 1
mistake 2
modern 1
money 1
monstrous 1
more 2
morning 1
motel 1
mother 2
moves 1
moving 1
mrs 1
much 1
museum 1
must 2
name 6
near 1
nearer 1
nearest 1
neck 2
neighbourswho 1
neumeister 10
never 3
new 3
next 1
night 2
ninth 1
no 3
nobody 1
not 4
noticing 1
novel 1
now 3
nursing 1
occasion 1
of 18
often 1
old 1
on 9
one 4
only 3
or 2
order 1
other 1
out 6
outside 1
over 1
own 2
owned 1
part 1
past 1
people 2
person 2
personal 2
place 1
police 6
ponders 1
present 1
pressed 1
pretending 2
promises 1
quarrelling 1
quite 1
quits 1
rage 1
rapidly 1
real 3
realises 2
realising 1
reality 1
reason 1
reciprocate 1
recluse 1
refuses 2
rely 1
render 1
reports 1
restaurant 2
road 1
run 1
runs 1
said 2
same 3
save 2
school 1
scientist 1
secret 2
secretly 1
see 1
seeing 3
sees 3
selfdefense 2
sells 1
sensitive 1
serious 1
she 8
shopping 1
signed 1
since 2
situation 4
sneaks 1
so 3
some 2
son 1
soon 1
standing 1
station 1
stays 2
steps 2
story 1
stranger 1
success 1
suddenly 1
suffers 2
surrounding 1
suspicions 1
sympathetic 1
take 2
tell 2
telling 1
tells 1
that 22
the 53
their 3
them 2
then 1
there 1
they 1
thinks 1
this 3
thought 1
thrown 1
throws 1
thus 1
time 2
to 29
took 1
tracked 1
travels 1
try 1
two 2
unaware 1
unconscious 1
under 3
unrequited 1
up 2
upon 2
upstairs 1
very 1
violently 1
visit 3
waiter 1
wall 1
wants 1
web 1
wed 1
week 1
weekend 3
weekends 1
wellpaid 1
wes 6
what 2
whatever 1
when 10
where 1
whereas 1
which 4
while 1
whilst 2
who 3
wife 1
will 1
william 2
win 1
window 1
winning 2
with 8
without 2
world 1
would 2
writes 2
writing 1
york 1
