1112746
/m/0472k4
/m/0472k4
Boris Strugatsky

{"/m/06n90": "Science Fiction"}
a 34
about 1
achieve 1
act 1
after 2
aliens 1
all 1
almost 1
along 1
alpha 1
an 4
and 21
angry 1
another 1
any 1
anymore 1
anyone 1
anything 1
approximately 1
are 5
around 3
arrested 1
artifact 1
artifacts 4
as 9
asks 1
assignment 1
assistant 1
assumed 1
at 6
away 2
baby 1
back 1
bar 2
barely 1
be 2
beautiful 1
because 2
becomes 2
been 1
before 1
birth 1
blames 1
body 1
boss 2
briefly 1
broken 1
bullet 1
bullets 1
burbridge 5
business 1
but 1
buyer 1
buzzard 1
by 7
call 1
cant 1
career 1
carry 1
cemetery 1
children 1
clean 1
comes 2
commonwealth 1
companion 1
confronted 1
confronts 1
consequences 1
considers 1
contacts 1
container 1
content 1
contraband 1
contractor 1
control 1
copies 1
country 1
cover 1
covert 1
credited 1
curve 1
cygnus 1
daughter 4
deactivate 1
dead 2
deal 1
death 2
deceased 1
decide 1
decides 1
deneb 1
depressed 1
die 1
discovery 1
disillusioned 1
dispatched 1
dr 1
drunk 1
each 1
earth 2
earthdeneb 1
eight 1
employed 1
empty 1
end 1
enters 2
escapes 1
ever 1
everybody 1
everyone 1
evolves 1
examinations 1
expedition 2
experienced 1
explains 1
fate 1
father 3
fearful 1
feeling 1
fellow 1
fictitious 1
find 2
finding 1
firing 1
five 1
flow 2
follows 1
for 9
force 1
forced 1
free 1
frequent 1
friend 4
from 9
full 3
fully 1
generation 1
get 3
getaway 1
gets 1
gift 1
girlfriend 1
given 2
globe 1
go 2
goes 2
going 1
golden 1
good 1
governmental 1
governments 1
grants 1
grows 1
guta 4
had 1
hair 1
happenings 1
happiness 2
happy 1
hard 1
harmont 1
has 2
hasty 1
have 3
he 11
heart 1
heavily 1
heavy 1
hed 1
hell 1
help 1
helps 1
her 3
hidden 1
high 1
him 4
himself 1
his 11
holes 1
home 1
homes 1
hope 1
hoping 1
how 1
howler 1
huge 1
human 1
illegally 1
imagine 1
implied 1
in 15
incursions 1
indicate 1
inside 2
institute 2
intelligent 1
international 1
interview 1
into 6
introduction 1
is 23
it 7
jail 1
jelly 1
joins 1
jokingly 1
keep 2
keeps 1
known 3
knows 1
lab 1
last 1
later 2
latter 1
leads 1
leakage 1
learn 1
leavespasses 1
left 1
legs 1
lie 1
life 2
light 1
line 1
live 1
located 1
location 1
locations 1
longer 1
looking 1
looks 1
loses 1
lovingly 1
main 1
make 1
makes 1
man 1
many 1
map 1
marry 1
matter 1
meaning 1
meatgrinder 2
medical 1
mileskilometers 1
monkey 2
more 2
multiyear 1
mutations 1
mysterious 1
named 1
new 1
news 1
night 2
no 4
noonan 1
normal 1
novel 2
now 4
obstacles 1
occurred 1
of 19
offer 1
offices 1
official 1
old 1
on 8
one 4
only 1
operative 1
order 2
organization 1
original 1
other 3
our 1
out 3
outoffended 1
over 2
period 1
phenomena 1
phenomenon 2
picnicsfortourists 1
pilman 1
pistol 1
planet 1
point 1
police 1
porcelain 1
postvisitation 1
pregnant 1
presumably 1
prevent 1
previously 1
proceeds 1
profit 1
protagonist 1
radio 1
random 1
reach 2
reaches 1
recaptured 1
recent 1
reclusive 1
recover 1
red 6
redrick 11
refer 1
regularly 1
released 1
repeating 1
resemble 1
responsible 1
returning 1
revealed 1
reveals 1
revolves 1
richard 1
risk 1
rumored 1
rushes 1
russian 1
sale 1
savagely 1
save 1
saved 1
school 1
schuhart 1
screaming 1
screams 1
search 1
secret 3
seems 1
sent 1
set 3
setup 1
she 2
shock 1
short 1
shots 1
shouting 1
situated 2
six 4
size 1
slime 1
slowly 1
small 1
smooth 1
smuggled 1
so 2
someone 1
something 1
somewhere 1
son 1
specific 1
spent 1
sphere 4
spin 1
square 1
stalker 2
stalkers 4
star 1
start 1
still 1
stop 1
story 1
strange 2
stronger 1
struggling 1
studies 1
subculture 1
substance 1
succeeded 1
sunday 1
supply 1
supposedly 1
surface 2
surviving 1
swag 1
taken 1
talking 1
tasked 1
than 2
that 8
the 58
their 2
them 2
there 1
they 5
thieves 1
think 1
this 2
though 1
tight 1
time 1
to 31
together 1
too 1
tough 1
towards 1
town 1
translation 1
try 1
trying 1
un 1
unexplained 1
unforeseen 1
unique 1
unnamed 1
unsatisfied 1
up 3
use 1
valuable 1
visitation 2
visitations 1
weekend 1
werent 1
what 1
when 1
where 2
which 4
while 2
who 5
whole 1
whom 1
whose 1
widely 1
will 3
wish 2
wishes 1
wishgranting 1
witches 1
with 8
words 1
working 1
world 2
would 1
year 1
you 2
young 1
youngster 1
zone 11
zones 6
