5569548
/m/0ds_lp
/m/0ds_lp
Gary Gygax
1982
1 1
10 1
14 1
20 2
20th 1
22 1
5 2
a 6
actually 1
adventure 1
adventurers 1
after 2
alabaster 1
aloud 1
an 2
and 9
are 3
area 1
armored 1
arriving 1
as 3
at 1
attempting 1
before 1
border 1
canyon 1
capturing 1
cave 1
cavern 1
caverns 6
centaurs 1
characters 3
chased 1
consist 1
contains 1
craggy 1
daughter 1
defeating 1
dells 1
drelzna 2
dungeon 1
each 1
encounter 7
encounters 7
ends 1
face 1
fightervampire 1
final 1
find 1
first 1
for 1
four 1
from 1
giants 1
gnome 1
gold 1
greater 2
greyhawk 1
have 2
here 1
hill 1
hippogriffs 1
hulk 1
humans 1
iggwilv 1
in 2
include 2
includes 1
inner 1
instructions 1
introduction 1
investigate 1
is 4
it 1
its 1
lair 1
lake 1
lesser 2
lettered 1
lost 1
mail 1
map 2
master 1
mountains 1
must 2
names 1
neck 1
next 1
numbered 1
of 7
on 1
orcs 1
outlines 1
own 1
patrol 1
perished 1
perrenland 1
plate 1
player 3
players 3
reach 1
read 1
realm 1
rewarded 1
rumors 1
scores 1
sell 1
she 1
slab 1
sleeps 1
south 1
sphere 1
stinking 1
such 3
that 3
the 25
their 1
there 1
they 1
titled 1
to 4
toe 1
traverse 1
treasure 3
trolls 1
two 1
umber 1
underground 1
unevenfloored 1
vale 1
where 2
which 2
wilderness 2
with 6
woman 2
yatil 1
