9389380
/m/0286y1f
/m/0286y1f
Jacqueline Wilson
2000-11-02
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 8
about 2
accident 1
activity 2
after 3
afterwards 1
although 2
ambulance 1
an 2
and 18
angel 1
appears 2
are 1
arguing 1
as 4
assumed 1
at 1
attend 2
attends 1
back 1
becomes 1
bereavement 1
best 1
building 1
by 3
can 3
cant 1
car 2
control 1
controlling 1
counsellor 1
court 1
cruel 1
crush 2
dashes 1
death 3
dies 1
discovers 1
distraught 1
do 1
down 1
during 1
emotion 1
encouraged 1
eventually 1
extracurricular 1
fatboy 1
fault 1
fighting 1
finally 3
flamboyant 1
flees 1
floating 1
follows 1
for 2
forced 1
forgives 1
freeing 1
friend 1
friends 2
friendship 1
from 3
funeral 1
funrunning 1
get 2
ghost 2
girl 1
goes 1
grows 1
guilt 2
had 3
he 3
hear 1
her 11
herself 1
him 1
hit 1
hospital 3
hour 1
how 1
however 3
in 4
influencing 1
injuries 1
inquest 1
internal 1
into 4
is 10
it 2
jade 17
just 1
later 1
lead 1
least 1
leaving 1
life 4
looking 1
make 1
makes 1
more 2
move 2
must 1
nearly 1
new 1
not 1
on 6
one 1
only 1
or 2
originally 1
other 1
out 1
outgoing 1
overcome 1
people 1
pulls 1
recall 1
returns 1
reveals 1
revisited 1
road 2
running 1
runs 1
sam 2
saving 1
saying 1
school 1
see 2
she 7
shock 1
shy 1
signed 1
sky 1
snide 1
spectre 1
sticks 1
street 1
struck 1
take 1
tells 1
that 2
the 12
them 1
there 1
things 1
timid 1
to 14
together 1
travels 1
tries 1
trying 1
unlikely 1
up 2
used 1
usually 1
vicky 22
was 2
when 2
where 1
which 1
while 1
who 2
wings 1
wishes 1
with 5
without 3
