10697187
/m/02qmjsv
/m/02qmjsv
Fiona McIntosh

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 29
accompanies 1
adopted 1
advances 1
affair 1
affections 1
after 2
agrees 1
alone 2
also 3
alyssa 26
among 1
an 6
ancient 1
and 58
angry 3
another 1
any 1
anyone 1
appearance 1
appears 1
apprentice 1
arabella 2
archalyt 1
archiving 1
are 11
areas 1
arrestingly 1
arrival 1
arrive 1
arrives 1
as 9
at 12
attack 1
attacked 1
attempts 1
attend 2
avenged 1
aware 2
back 1
badly 2
band 1
be 4
beaten 1
beautiful 1
beauty 1
became 1
because 2
becomes 4
befriending 1
begins 2
being 2
beings 1
believed 1
believes 3
between 1
birthright 1
bitter 1
body 2
both 2
boy 1
branded 1
bridled 1
bridling 1
broken 1
brutally 1
burnt 1
but 1
by 11
called 2
caremboche 8
celebrated 1
centuries 1
chaos 1
charge 1
children 1
circus 3
cloot 6
close 2
continue 1
convinces 1
couple 1
court 1
crafts 1
cripple 1
crippled 1
cruel 1
culmination 1
cuts 1
cyrus 3
dances 1
daughter 1
death 2
decides 1
defend 1
deliberately 1
despair 2
despises 1
detected 1
die 1
died 1
direction 1
disappearance 1
disguise 1
distraught 1
distressed 1
dog 1
done 1
down 1
dreams 2
duly 1
dying 1
earthly 1
either 1
elder 1
emerges 1
enchanted 1
encountered 1
encounters 1
enemies 1
engage 1
entertained 1
eryn 2
escape 1
escapes 1
executed 2
execution 1
eyes 1
falcon 1
falling 1
father 1
fear 1
fearsome 1
feasting 1
fed 1
feelings 1
festival 4
figure 1
find 1
finds 1
fire 1
first 1
flee 1
flow 1
following 2
for 7
forehead 1
forest 2
fox 2
foxes 1
friends 1
from 3
go 1
god 1
gods 1
good 1
goth 10
gratitude 1
great 1
group 1
guard 1
gynt 2
gypsies 1
had 1
has 4
hates 1
have 1
haven 1
having 2
he 7
heal 1
heartwood 2
held 2
her 14
here 1
him 5
himself 3
his 15
house 1
however 4
if 1
in 23
inadvertently 1
inn 1
inquisitors 1
inquistor 1
inquistors 1
instead 1
intercourse 1
interrupted 2
into 3
is 25
it 6
journey 2
killed 1
king 2
later 1
learn 1
learns 1
led 1
let 2
limbs 1
link 1
live 1
lives 1
local 2
longer 1
lorys 1
loss 1
love 2
lover 3
loves 1
lurks 1
lys 2
magic 1
magical 2
maiden 1
maimed 1
make 1
makes 2
malicious 1
man 1
manhood 1
manipulates 1
married 1
may 2
meanwhile 1
medicine 1
meets 2
merkhud 10
middle 1
misled 1
misunderstandings 1
monarchy 1
months 1
must 2
mysterious 1
name 1
named 4
narrowly 1
nation 1
nearby 1
nephews 1
nick 1
nine 1
no 1
not 4
now 1
nyria 1
of 25
off 1
on 4
once 1
or 2
orlac 3
orphan 1
other 1
out 3
over 4
palace 1
paladin 2
parades 1
parents 2
passionately 1
passive 1
past 1
pause 1
peace 1
peregrine 1
performer 1
periodically 1
physic 2
place 1
placed 1
plotting 1
popular 1
position 1
power 1
powers 4
pregnant 1
presence 1
priestess 1
prime 1
proceeds 1
process 1
proposal 2
prostitute 1
protector 1
psychically 1
punishment 3
pushed 1
queen 1
quelled 1
quickly 1
rape 1
rather 1
razed 1
razes 1
realms 1
rejected 1
relations 1
relationship 1
rescues 1
rest 1
reunite 1
revealed 2
reveals 1
ripped 1
romantic 3
rorkyel 1
royal 2
royallyemployed 1
ruffians 1
rural 1
same 1
saves 2
saxon 7
secondincommand 1
secrecy 1
security 1
seduction 1
sends 1
sentenced 2
sentient 2
sentients 1
separated 1
several 1
sexual 2
she 3
sixteenyearold 1
skills 1
small 1
smitten 1
solyana 1
son 1
sorrel 7
sort 1
soul 1
spend 1
spirit 3
spoken 1
starting 1
stay 1
stays 1
steeped 1
stolen 1
stone 1
stop 1
study 1
superstition 1
surprise 1
suspicious 1
sworn 1
takes 1
taking 1
tal 5
talented 1
tallinor 4
teaches 1
teenagers 1
teleport 1
ten 1
that 2
the 44
their 7
they 6
thieves 1
those 1
though 1
through 2
time 4
to 31
tongue 1
took 1
tor 17
torkyn 12
towards 2
town 1
transforms 1
travel 2
travels 1
two 3
type 1
ultimately 1
unconscious 1
undetected 1
unknown 1
untouchable 1
unwanted 1
uses 1
village 3
virgin 1
visits 1
was 4
way 4
when 2
where 4
which 3
while 2
who 9
whom 1
whose 1
wife 1
will 1
witch 1
with 11
wolf 1
woman 3
women 1
world 1
would 1
xantia 2
years 1
yet 1
young 2
