9455599
/m/0289k8v
/m/0289k8v
José Saramago

a 23
able 2
about 4
absolute 1
accepts 1
accident 2
actions 1
actor 2
address 4
afonso 1
after 4
afternoon 1
again 1
agree 1
agrees 2
alive 1
all 1
already 1
and 39
answers 2
antnio 6
anxiety 1
apartment 1
appearance 1
appeared 1
are 2
arrival 1
as 7
ashamed 1
asks 4
at 8
attractive 1
automobile 1
back 2
be 7
beard 3
bearing 1
because 2
becomes 1
bed 1
been 2
before 2
behind 1
belt 1
born 4
breakfast 1
but 4
buyer 1
buys 2
by 3
call 3
calling 1
calls 1
car 4
causes 1
center 1
changes 1
checks 1
circumstances 1
civilization 1
civilizations 1
claims 1
clarify 1
claro 30
clothes 3
colleague 2
collision 1
comes 1
company 3
compensation 1
concerning 1
contact 1
contacted 1
contacts 1
country 2
crashed 1
crossed 1
da 9
day 3
days 1
decide 1
deder 1
deduces 1
demands 1
details 1
die 1
died 2
disclose 1
discover 2
discovering 1
dismisses 1
disruption 1
divorced 1
donning 1
doppelgnger 1
double 2
down 1
dresses 1
driver 1
drives 3
duplicado 3
duplicate 1
duplicato 1
earlier 2
end 1
engaged 1
enjoy 2
esel 1
euo 1
eventually 1
ever 1
everything 1
exact 1
exactly 2
exclusive 1
exlaims 1
explains 1
fact 1
fake 3
film 1
finally 1
find 2
finding 1
finger 1
first 3
follows 1
for 4
forgive 1
forgiveness 1
from 4
fully 1
furious 1
get 1
gets 2
girlfriend 3
gives 1
goes 1
half 1
has 6
have 2
he 29
head 1
helena 4
her 18
high 1
him 15
himself 2
his 24
history 1
hombre 1
home 4
homem 2
hope 1
hopes 1
hotel 2
hour 1
house 4
husband 4
hysterical 1
i 1
identical 3
identification 2
identity 1
ill 1
in 19
indeed 1
indentation 1
inform 1
informs 2
initially 1
intends 1
into 4
is 13
it 3
itluomo 1
jos 1
just 1
keeps 1
keys 1
know 1
knows 1
lane 1
last 1
later 2
learn 1
leave 3
leaves 3
left 1
letter 3
life 2
like 1
loads 1
looks 1
love 1
make 1
makes 1
making 2
man 7
maria 14
married 2
meanwhile 2
meet 6
meeting 2
meets 1
men 3
mesopotamian 2
minutes 1
moles 1
month 1
months 1
more 1
morning 3
mother 1
motives 1
movie 1
mximo 1
name 1
nearby 1
never 1
newspaper 1
next 1
night 4
nights 1
no 1
not 5
note 1
notices 1
now 2
number 2
obsessed 1
obtain 1
obtained 1
of 9
offices 1
on 6
one 4
order 2
original 3
other 2
out 2
over 1
own 1
paper 1
park 1
passengers 1
passes 1
pay 1
pays 1
paz 9
personal 1
persuaded 1
phone 5
pistol 1
place 1
police 2
posing 2
possess 1
potential 1
presents 2
proceeds 1
production 3
pto 1
put 1
puts 1
quarreling 1
questioned 1
reach 1
reading 2
reads 1
realizes 1
realizing 1
reason 1
receiving 1
refuses 2
relationship 1
rents 1
responds 3
return 1
revealed 1
reveals 1
revenge 1
ring 1
rings 1
rushes 1
same 2
saramago 2
scars 1
school 1
sees 1
sell 1
sends 2
share 1
she 6
signature 1
signed 1
situation 2
small 1
smugly 1
soon 1
spend 2
spends 2
spent 1
stable 1
stakes 1
stalks 1
stay 1
still 1
stop 1
strip 1
student 1
stunned 1
suffers 1
suggestion 1
suspects 1
svdubbelgngaren 1
take 1
taken 1
talk 1
teacher 1
tell 1
telling 2
tells 4
tertuliano 36
that 19
the 57
their 3
them 1
then 1
thereby 1
they 7
thing 1
thinking 1
thinks 1
thirtyone 1
this 1
those 1
threatens 1
three 1
through 1
time 2
to 47
together 1
told 1
town 1
truck 3
trying 1
turn 1
twin 1
two 2
under 1
up 1
upon 1
very 1
views 1
visit 1
visiting 1
voice 2
voices 1
wakes 1
wants 2
was 5
wearing 1
wedding 1
week 1
weeks 1
well 2
were 1
what 1
when 2
where 1
which 6
while 1
who 3
whole 1
wife 3
will 4
with 10
wonders 1
word 1
work 1
writes 1
written 1
year 1
years 1
you 2
