14547507
/m/03d7cz9
/m/03d7cz9
Lin Carter
1975-02
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
176 1
a 36
able 1
aboard 1
about 1
adolescent 1
advanced 1
after 4
against 1
aid 1
aims 1
air 1
airborne 1
aircraft 2
airship 5
alights 1
all 1
ally 1
almost 1
alongside 1
also 2
an 8
and 41
andar 7
angzar 1
another 3
any 2
approach 1
archers 2
are 5
area 1
arjala 7
arrives 1
article 1
as 19
asks 3
at 6
attack 2
attacked 1
attempts 2
avenger 1
away 1
bandaging 1
barbarians 6
barbariansconverted 1
battle 1
be 4
behind 1
being 3
belowdecks 1
betrayed 1
between 1
bird 1
blasts 1
blue 5
bluff 1
board 2
boarded 1
body 1
boy 1
boywhom 1
bridle 2
brought 1
brutish 1
but 5
by 20
callingand 1
calls 1
can 2
cannon 1
cannot 1
capitol 1
captained 1
carried 1
carrying 2
case 1
catacombs 1
caused 1
certain 1
chastity 1
chieftainship 1
citizens 1
city 1
claiming 1
cloudcover 1
cockpit 2
combination 1
comes 3
coming 1
companions 1
conclusion 1
confesses 1
conquered 1
conquestwhich 1
consciousand 1
consciousness 1
construct 1
continue 1
controlling 1
corrected 1
craft 6
crashes 1
create 1
crushing 1
cutting 1
danger 1
day 2
death 1
decks 1
deduces 1
deems 1
defeat 1
delays 1
delgan 3
described 1
description 1
deserted 1
deserting 1
desperate 1
destroy 1
did 1
directions 1
disguised 1
disguises 1
dismay 1
dispatches 1
distance 1
disturbs 1
does 2
doesnt 1
down 2
drop 1
drowning 1
due 4
effect 1
either 1
elephantsized 1
elixir 1
elsewhere 1
enamel 1
end 1
ending 1
energises 1
enjoy 1
enough 1
enter 1
eryon 3
escape 2
escapes 2
espy 1
explores 1
extract 1
eyes 1
eyesight 1
face 1
fall 1
far 1
feeling 1
fell 1
fight 1
fighting 1
fights 1
figure 1
finding 1
finds 3
finishes 1
firewhich 1
first 1
flame 1
flee 2
fleeing 1
flees 1
fleet 1
flies 1
flyand 1
follow 1
follows 1
foolish 1
for 9
forces 1
freedom 1
from 8
front 1
further 3
gap 1
garments 1
girl 1
gives 1
glow 1
god 1
gone 1
good 1
grab 1
great 1
green 5
grip 1
group 1
guides 1
guilty 1
had 4
harbour 2
has 7
have 2
he 14
head 1
hear 1
hears 2
held 2
help 2
her 5
heras 1
him 7
himstrengthened 1
his 10
hoggur 3
hope 3
however 3
huge 1
hut 1
identify 1
idol 1
if 4
immune 1
in 14
incinerating 1
include 1
including 2
inevitable 1
inexperienced 1
inflict 1
inland 1
inlandseadwelling 1
inside 3
into 5
invasion 1
is 15
island 5
islet 2
it 12
its 5
itself 1
itthreatening 1
janchan 10
jump 1
jumps 3
jungledarea 1
just 3
kalood 1
kaloodhamanufactured 1
kamadhong 1
karn 17
kidnapped 1
kill 1
killed 2
kills 1
kingdom 1
klygon 6
knife 1
know 1
komar 4
komarians 7
koroga 1
land 1
lands 3
laonese 1
large 3
laserelectric 1
leading 1
least 1
led 1
liberated 1
light 3
lightning 1
like 1
liquid 1
lockpicking 1
locks 1
long 1
looks 1
loses 1
losing 1
lost 1
loving 1
madness 1
makes 1
manages 1
many 1
mean 1
meantime 1
meanwhile 2
medicines 1
meets 1
mercantile 1
mindtrail 1
moment 1
monster 1
muster 1
mysterious 1
name 2
named 2
narjix 1
narrowly 1
nasty 1
needing 1
new 1
niamh 7
niamhbut 1
nice 1
nimbalim 1
no 2
not 3
novel 1
now 1
oars 1
occupant 1
occupants 2
of 28
off 2
on 14
one 5
only 1
opportunity 1
opposite 1
or 2
other 1
out 5
outside 1
over 2
overboard 1
own 2
ozad 1
palace 2
panel 1
parimus 7
part 1
pass 1
past 1
peaceful 1
pick 1
plan 1
planet 1
platonically 1
pleases 1
point 1
possessed 1
prepares 1
prior 1
promptly 1
prompts 1
prospect 1
pursue 1
pursued 1
pursues 1
quick 1
quickly 1
racial 1
rageand 1
ralidux 8
raliduxniamh 1
ravaged 1
reached 1
reactions 1
real 1
really 1
reassured 1
recently 1
recognises 3
reefs 1
reenergised 1
regrab 1
release 1
released 1
remembers 1
reminisces 1
reptile 1
rescue 3
rescued 1
residual 1
restoring 1
retake 1
retaste 1
returned 1
reverse 1
risen 1
rising 1
