2771999
/m/081sv3
/m/081sv3
Aaron Allston
2006-05-30
a 11
about 1
accept 1
acquiesce 1
adumar 1
after 3
against 1
agree 2
aka 1
all 2
alliance 2
along 1
also 2
an 2
and 35
are 7
arrest 1
arrested 1
arrive 1
arrived 1
as 6
asks 1
asteroid 4
at 4
back 1
battle 2
battles 1
because 1
become 1
been 1
beginning 1
begins 1
believed 1
ben 9
beneath 1
between 2
bimmiel 1
both 1
bowels 1
brie 1
brisha 11
by 6
cart 2
cave 1
caverns 1
caves 2
chest 1
clouded 1
colorful 1
combat 1
comes 1
conjured 1
conquer 1
control 1
convince 1
corellia 3
coruscant 2
course 1
crimes 3
dark 6
darth 1
demands 2
destined 1
devastated 1
did 1
died 1
dinn 1
dinner 1
disable 1
discovered 2
discoveries 1
do 2
doesnt 1
down 3
dying 1
each 4
empire 2
encounter 1
end 1
ends 3
enemy 2
eradicate 1
except 1
experiences 1
explain 1
face 2
facility 1
failed 1
fall 1
feel 1
fight 2
fighting 2
fights 1
find 1
follow 1
for 2
force 1
forcesensitive 1
from 2
future 2
ga 1
galactic 3
galaxy 2
get 1
goes 2
guests 1
han 1
hand 1
happens 1
has 3
have 1
he 8
heard 1
her 9
him 4
his 5
home 4
host 1
house 1
if 1
imbedded 1
in 8
independent 1
individuals 1
information 1
informs 3
intent 1
into 3
investigate 1
invites 1
is 7
it 2
jacen 20
jade 1
jedi 6
just 1
kill 1
knight 1
knocked 1
knows 1
large 1
leads 1
learning 1
leia 1
lightsaber 2
lightwhip 1
likewise 1
looks 1
lord 4
lorrd 2
luke 7
lukstation 1
lumiya 6
man 1
mansion 1
mara 3
meaning 1
meet 1
meeting 1
memories 1
mentally 1
midst 1
mission 1
mother 1
motivated 1
motives 1
mysterious 2
name 1
named 1
near 1
needs 1
nelani 9
nephew 1
never 2
new 1
next 1
novel 3
now 1
obsession 1
of 28
off 1
on 8
one 2
or 1
order 2
out 3
peace 3
peers 1
perception 1
philosophical 1
place 1
planet 2
presence 2
questioned 1
quickly 1
real 1
realizes 3
refuses 1
reign 1
report 1
respectively 1
returning 1
returns 1
reunite 1
reveals 1
revelation 1
rid 1
save 1
saying 1
seek 1
sensed 1
senses 1
sensing 1
sent 1
separated 1
set 1
she 12
shira 1
side 3
sith 7
skywalker 5
skywalkers 1
so 1
solid 1
solo 2
son 1
speak 1
spiraling 1
stabs 1
stance 1
still 1
stunned 1
subjective 1
suspects 1
suspicious 1
syo 1
takes 1
taking 1
tassel 2
taught 1
teachings 1
tells 3
terror 1
test 1
that 18
the 52
their 5
them 4
then 4
there 1
they 13
theyre 1
thirtysix 1
this 4
through 2
to 20
took 1
trace 1
travel 1
tried 2
tries 2
true 2
uncle 1
unconscious 1
understanding 1
uneasy 1
unstable 1
up 1
upcoming 1
vectivus 4
vergere 1
version 2
versions 2
very 1
war 1
was 2
way 2
weapons 1
what 1
when 6
where 3
which 2
while 3
who 2
why 1
will 1
wipes 1
with 13
woman 1
would 1
yanked 1
years 1
