230019
/m/01hgm4
/m/01hgm4
George Eliot
1876
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1864 2
1865 2
1866 1
a 33
about 2
achieve 1
acting 1
admired 1
advances 1
advises 1
advocacy 1
advocate 1
affection 2
affectionate 1
after 5
again 1
all 2
alleviate 1
also 2
although 1
ambiguous 1
an 7
and 46
antipathy 1
anxious 1
as 4
asked 1
asking 1
at 3
attempt 1
attempting 1
attempts 1
attracted 1
august 1
avoid 1
away 2
be 5
beautiful 1
beauty 1
because 5
become 1
becomes 2
been 3
before 1
begins 1
behaviour 1
being 1
believed 1
believes 1
betrothal 1
better 1
between 1
boat 1
boating 1
breaks 1
brother 3
but 6
by 11
calculating 1
calm 1
can 2
cannot 2
career 1
cause 1
certain 1
character 1
child 2
childhood 1
children 2
closer 1
cold 1
come 2
comfortable 1
comforts 1
commit 1
commits 1
community 1
compassionate 1
connection 1
consumed 2
consumptive 1
contains 1
continue 1
controlling 1
could 1
cousin 1
crushed 1
cursed 1
daniel 12
daughter 1
day 5
death 2
debates 1
decide 1
decision 1
deronda 20
desire 1
despair 1
despite 2
devastated 1
devoted 1
did 1
die 1
died 1
dies 1
disciple 1
discover 1
discovered 1
discovering 1
disinheriting 1
do 3
does 1
downturn 1
drawn 1
dread 1
dream 1
drown 1
drowns 1
during 2
dying 1
earlier 1
early 1
east 2
economic 1
embrace 1
emotionally 1
england 1
english 1
even 1
eventually 1
exacerbates 1
exterior 1
ezra 1
ezramordecai 3
fact 1
family 5
famous 1
fateful 1
father 3
feared 1
fearing 1
feelings 1
feels 1
fictional 1
finally 4
financial 1
financially 1
finds 1
first 3
fits 1
flashbacks 1
flees 1
for 17
forced 2
fortune 2
freedom 1
friend 1
friends 1
from 9
futile 1
future 1
gambling 1
game 1
gentleman 2
german 1
germany 2
gives 1
glasher 4
go 2
goes 1
governess 1
grandcourt 3
grow 1
growing 1
guilt 2
gwendolen 21
had 1
harleth 2
has 8
haughty 1
have 3
having 3
he 15
heir 1
help 2
henleigh 1
her 48
here 2
herself 2
hesitates 1
hesitation 1
him 12
himself 3
his 23
history 1
home 2
hopes 1
however 1
hugo 8
husband 2
i 1
identity 3
illegitimate 1
immoral 1
in 27
inspiring 1
intellectual 1
intelligent 1
into 6
introduced 1
investigate 1
is 22
it 6
italy 2
its 1
jew 2
jewish 8
join 1
july 1
jumped 1
kidnapped 1
knocked 1
know 2
known 2
land 1
lapidoth 1
late 2
learning 1
learns 1
leaves 1
letter 2
leubronn 2
life 3
lighthearted 1
likes 1
live 1
london 2
long 1
look 1
lose 1
losing 1
lost 1
love 5
lydia 2
main 1
maintain 1
make 1
mallinger 2
man 2
manipulate 1
manipulative 2
many 1
marriage 3
marries 2
marry 2
marrying 1
meanwhile 1
mediterranean 1
meet 4
meeting 2
meets 4
midstory 1
mirah 10
mistake 1
mistress 1
moment 1
money 1
mordecai 5
mordecaiezra 1
mother 5
move 1
moved 1
mrs 2
musician 1
name 1
named 1
nation 1
national 1
necessary 1
necklace 3
neighbourhood 1
never 1
new 1
newlyweds 1
news 1
next 1
no 2
not 5
novel 2
observations 1
october 2
of 24
off 2
on 6
once 1
one 5
only 3
onto 1
open 1
opera 1
or 1
order 3
origins 2
others 1
otherwise 1
out 2
own 1
passionately 1
path 1
pawn 1
pawns 1
people 2
per 1
person 1
physician 1
picks 1
piety 1
pious 1
planning 1
plot 2
point 3
politics 1
porter 1
portion 1
pours 1
poverty 1
present 1
proclaims 1
prominent 1
promised 2
prone 1
proposes 1
pursue 2
pursuing 1
quite 1
raise 1
raised 1
ran 1
real 1
realises 1
receives 1
reconcile 1
redeemed 1
regularly 1
relationship 2
relative 1
rescues 1
resentment 1
respect 1
respectable 1
restore 1
restored 1
retain 1
return 1
returned 1
returns 1
revealed 1
righteousness 1
rigid 1
roulette 1
ruined 1
running 1
sadness 1
satirical 1
save 2
saw 1
say 1
search 1
searching 1
security 1
seeking 1
seems 1
sees 1
selfcentered 1
selfish 2
sell 1
sends 1
separate 1
september 1
set 1
sets 1
several 1
shake 1
shall 1
she 26
short 1
shortly 2
side 1
singer 2
singing 1
sir 8
society 1
some 1
somewhat 1
son 2
soon 1
sore 1
spite 1
stage 1
stepfather 1
still 1
story 1
strains 1
strictly 1
stronger 1
strongly 1
stubborn 1
suffer 1
suffering 1
suspected 1
taciturn 1
takes 1
tale 1
talent 1
tell 1
telling 2
tells 3
terror 2
thames 1
that 15
the 34
their 4
then 1
they 3
think 1
this 6
though 1
through 1
time 3
title 1
to 55
told 1
town 2
treachery 1
trip 1
troubles 1
troupe 1
true 1
turning 1
turns 1
two 2
undertakes 1
union 1
united 1
up 2
upon 2
urges 1
us 1
vision 1
visionary 1
wants 2
wary 1
was 7
water 1
way 1
wealthy 2
wedding 2
what 3
when 2
whenever 1
where 1
which 6
who 6
whom 4
whose 1
widely 1
will 2
winnings 1
wish 2
wished 1
with 13
woman 2
working 1
would 4
years 1
yet 1
young 2
