725991
/m/035_37
/m/035_37
Adam Smith
1776
10 1
18th 1
1th 1
23s 2
3 1
33s 1
34abilities34 1
34alienation34 1
34all 1
34but 1
34factions34 1
34fill 1
34from 1
34invisible 2
34labour 1
34maxims34 1
34of 4
34one 1
34special 1
34such 1
34that 1
34the 7
34when 3
3free 1
3s 1
4 1
a 102
able 2
about 4
above 4
abundance 1
abundant 1
accept 1
accord 2
account 3
accumulation 1
accurately 1
acknowledge 1
acquire 2
acquired 2
acquiring 1
act 2
acting 1
actions 2
active 1
actors 1
acts 1
actual 3
actually 1
adam 4
adds 3
adjusting 1
administration 1
admiration 1
admitted 1
adopted 1
adults 1
advances 1
advantage 3
advantageous 4
advantages 6
advert 1
advocate 1
advocated 2
advocates 1
afford 4
after 4
again 1
against 13
age 1
agrees 1
agricultural 2
agriculture 5
ahead 1
alia 1
alienating 2
alienation 1
alienation34 1
aligned 1
all 21
allow 1
allows 2
almost 2
aloud 1
already 1
also 6
although 1
altogether 4
always 4
amenable 1
america 6
american 1
among 10
amount 7
an 6
ancient 6
and 157
annual 1
another 7
antiquated 1
any 22
anything 1
apart 1
apparent 1
appearance 1
approbation 1
are 30
area 1
areas 1
argued 1
argues 5
arguing 1
argument 4
arises 1
armyinstitutional 1
around 1
arts 1
as 54
ascertain 1
asia 1
aside 1
aspects 1
assay 1
assistance 2
associations 2
at 15
attached 1
attacked 2
attacks 2
attempt 1
attracts 1
attributes 1
augmentation 1
author 1
authority 2
available 1
avarice 1
avenues 1
away 2
back 2
balance 3
bankers 1
barbarians 1
barbarism 1
barbarous 2
barter 1
be 24
because 8
becomes 1
been 15
before 5
began 2
begins 1
being 7
believed 2
belong 1
below 2
beneficial 1
best 2
bestowed 2
better 2
between 3
beyond 3
bid 2
bidding 1
binds 1
block 1
book 5
borrow 1
borrower 2
both 4
bounties 2
branch 1
branches 1
bringing 1
britain 1
broke 2
build 1
bullion 1
burden 1
but 18
buy 3
buying 1
by 40
call 1
called 4
can 23
cannot 3
cape 1
capital 11
capital34 1
capitalist 1
capitalists 3
carried 1
carry 2
case 3
cases 1
castles 1
cattle 1
cause 1
caused 2
causes 1
cease 2
celebrated 1
centuries 2
century 2
