5090932
/m/0d282t
/m/0d282t
Jo Nesbø
2002
{"/m/0lsxr": "Crime Fiction"}
2 1
25 1
31 1
a 30
abandoned 1
act 1
against 1
all 2
also 3
an 5
and 12
anna 11
another 2
apartment 1
apparent 2
are 4
arrest 2
arrive 1
art 2
as 5
at 1
atm 2
atms 1
author 1
awakens 1
back 1
balaclava 1
bank 8
banks 1
bartlett 1
battle 1
be 2
beam 1
beate 3
been 3
before 4
being 2
believes 1
bethsen 1
blood 1
body 1
bok 1
book 1
brazil 2
brother 1
businessman 1
but 7
by 5
call 1
can 1
cannot 2
case 3
catches 1
classic 1
clearly 1
close 1
closed 1
colleague 1
committed 1
conceal 1
concealed 1
conclusion 1
confuse 1
connected 1
considerable 1
contacts 1
convict 1
could 1
crimes 1
custody 2
day 1
dead 2
dealings 1
death 2
deciphered 1
deduces 1
delight 1
demands 2
detective 1
determines 1
dinner 1
discover 1
discovered 1
disguised 1
don 1
done 2
drugged 1
during 1
ear 1
effects 1
ellen 1
emails 4
emptied 1
empties 1
emptying 1
ending 1
english 1
enlists 1
even 2
events 1
eventually 1
evidence 4
exchange 1
expert 1
extend 1
fact 2
father 1
finance 1
finds 1
first 1
flamboyant 1
flat 2
following 2
for 7
forensic 1
forensics 1
former 4
forwards 1
found 3
from 4
further 2
getting 1
girlfriend 2
give 1
given 1
gotten 1
great 1
gun 2
gypsy 2
had 5
hand 1
hanging 1
hangover 2
harry 24
has 3
have 5
having 1
he 13
headache 1
held 1
help 1
her 8
hiding 1
him 8
himself 3
his 15
holding 1
hole 3
home 2
hostage 4
however 2
husband 1
implicated 2
in 20
incriminating 1
inescapable 1
initially 1
innocence 1
inquiry 1
insights 2
inspector 1
intended 2
intends 1
intimately 1
into 5
intricate 1
investigation 4
invited 1
involvement 1
is 15
it 5
job 1
just 1
kill 1
killed 2
killer 1
knew 1
known 1
knows 2
last 1
later 1
latter 2
leads 1
learning 1
learns 1
leave 1
led 1
lefthanded 1
letters 1
like 1
limit 1
line 1
lnn 4
lone 1
losing 1
loss 1
lot 1
love 1
lover 2
lovers 1
makes 1
man 1
manager 1
mask 1
may 3
mean 1
meanwhile 1
memory 2
mind 1
minor 1
mirror 1
missing 1
mobile 1
modem 1
money 2
more 1
morning 1
moscow 1
much 1
murder 5
murdered 1
murderer 3
mysterious 1
name 1
near 1
nemesis 2
new 1
niece 1
night 2
nm2s 1
no 2
norway 1
norwegian 1
nosorgenfri 1
not 1
novel 2
novels 1
now 5
number 1
occur 1
of 25
old 1
oleg 3
omniscient 1
on 5
one 1
only 1
or 1
other 3
own 2
painter 1
parental 1
paulo 1
phone 1
phonetically 1
photograph 1
picture 1
plotted 1
plus 1
police 3
prepares 1
presence 1
previous 1
prime 1
prince 1
prison 1
private 1
prosecuted 1
proven 1
race 1
rakel 2
raskol 4
reader 1
reading 1
realize 1
receives 1
redbreast 3
regarding 1
relative 1
relax 1
remains 1
represents 1
resist 1
resources 1
return 1
returns 1
revenge 1
rich 1
right 1
robbed 1
robber 6
robberies 3
robbery 2
run 1
running 1
russian 1
s 1
s2mn 2
same 1
second 1
seconds 2
seems 1
seen 1
send 1
sent 1
sets 1
shattering 1
she 2
shooting 1
shoots 1
shortterm 1
show 2
showdown 1
shows 1
side 1
sight 1
signature 1
signed 1
simultaneously 1
since 1
skill 1
smuggler 2
so 4
solution 1
solving 1
son 2
sounds 1
speak 1
specified 1
stage 1
still 1
strange 1
successful 1
sued 1
suggestions 1
suggests 1
suicide 3
sums 1
surmises 1
suspect 3
symptoms 2
takes 1
taking 1
teller 2
tellers 1
than 1
thanks 1
that 12
the 65
therefore 1
this 2
thorn 1
time 3
timedelay 1
to 24
together 2
told 1
tom 2
transferred 1
translated 1
treating 1
two 1
uncertain 1
uncovers 1
unit 1
unsolved 1
use 1
victim 1
video 1
visit 2
voice 1
waaler 2
wants 1
was 5
way 1
well 1
were 2
when 2
which 5
whilst 1
whispered 1
whispers 1
who 4
whom 1
will 1
wind 1
wins 1
with 7
within 2
witness 2
word 1
zh 1
