2146926
/m/06q7bl
/m/06q7bl
Cherie Bennett
1998-11
{"/m/03mfnf": "Young adult literature"}
a 3
about 1
accident 1
adventure 1
after 1
becoming 1
best 1
brother 1
can 1
car 1
closure 1
darcy 4
david 3
death 2
decide 1
deeton 1
deetons 1
determined 1
donate 1
embarks 1
evans 1
falls 1
find 2
friend 1
girl 1
guiltridden 1
has 1
he 1
heart 2
her 2
his 4
important 1
in 2
inadvertently 1
is 3
jayne 1
jealous 1
leads 1
love 1
loves 1
most 1
older 1
on 1
organ 1
person 1
sam 1
she 2
so 2
some 1
that 1
the 2
to 3
twelveyearold 1
when 1
who 2
wild 1
with 2
