12985742
/m/02z28r1
/m/02z28r1
Barbara Biggs
2006-01-31
10 1
13 1
17 1
27 2
a 5
abuse 1
across 1
after 2
age 2
aged 1
all 1
and 13
answers 1
as 1
asks 1
babysitter 1
be 1
because 1
been 2
before 2
both 1
calls 1
can 1
caught 1
charges 2
charming 1
chat 2
child 1
confess 1
cops 1
court 1
days 1
dealt 1
decide 1
depressed 1
do 1
does 1
during 1
each 1
emails 1
erica 1
even 1
eventually 1
ever 1
evidence 1
extremelly 1
extremely 1
fakes 1
feel 1
feeling 1
final 1
find 1
finds 1
for 2
freaks 1
friends 1
from 2
getting 1
girl 1
go 2
goes 2
goodlooking 1
gorgeous 1
guy 1
happened 1
has 2
have 1
he 7
her 7
hes 2
him 3
his 3
hours 1
in 4
interested 1
is 8
jail 1
know 1
lack 1
let 1
lets 1
liking 1
lonely 1
long 1
makes 1
meet 2
meets 1
melbourne 1
missing 1
more 1
moving 1
named 1
new 1
not 1
now 2
of 3
on 2
online 1
other 1
out 2
parents 1
police 1
reaises 1
realise 1
really 1
robin 5
romantic 1
rooms 2
sam 3
samantha 1
secret 1
set 1
several 1
sexual 1
she 8
shes 1
smart 1
special 1
starts 1
stressing 1
stumbles 1
sydney 1
taken 1
talk 1
tell 1
tells 1
than 1
the 5
then 1
there 1
they 6
though 1
time 2
times 1
to 9
told 1
wait 1
walk 1
was 1
what 1
when 1
where 1
which 1
while 2
will 1
with 3
work 1
young 1
