5276643
/m/0dc407
/m/0dc407
Robert Crais
2001
a 4
and 5
arranges 1
associates 1
away 1
because 1
begins 1
being 1
benza 5
betrayed 1
boys 2
by 2
chase 1
chief 1
clewes 1
coast 1
could 1
discs 2
down 1
empire 1
employer 2
end 1
executes 1
failing 1
failure 1
family 4
feels 1
for 3
goes 1
good 1
had 1
held 1
his 4
hostage 2
house 1
in 1
is 2
jeff 1
kidnap 1
killed 1
killing 1
lets 1
live 1
location 1
mafia 1
man 2
marion 4
men 1
minimart 1
most 1
named 1
new 1
obtain 1
of 2
one 1
organization 1
over 1
owned 1
police 3
powerful 1
put 1
rather 1
retrieve 1
rob 1
rules 1
salesclerk 1
shut 1
small 1
sonny 2
story 1
taken 1
taking 1
talley 3
than 1
that 2
the 10
their 1
them 1
they 1
three 1
to 3
town 1
trust 1
two 1
up 1
was 1
west 1
when 1
where 1
who 1
york 1
young 1
