17210447
/m/043m23r
/m/043m23r
Victor Appleton
1915
115 1
a 3
after 1
against 1
agenda 1
airship 2
already 1
an 1
and 3
are 1
as 4
at 1
been 1
but 1
by 1
careful 1
deliberately 1
erupts 1
explaining 2
explosives 1
finds 1
fire 3
for 1
foreign 1
friend 1
from 1
government 1
great 1
has 2
having 1
he 1
hijacked 1
his 6
i 1
idea 1
in 5
informs 1
invention 1
inventions 1
investigation 1
invited 1
is 4
just 1
known 1
lieutenant 1
marbury 2
middle 1
navy 1
ned 1
new 2
newest 1
newton 1
of 3
one 1
opens 1
otherwise 1
out 2
past 1
plot 1
possible 1
preparation 1
present 1
presenting 1
problems 1
progress 1
put 1
review 1
scoffs 1
set 1
sheds 1
ship 1
shows 1
soon 1
spies 1
states 1
stored 1
story 2
that 1
the 11
to 3
tom 6
united 1
unknown 1
war 2
was 3
where 1
with 1
world 1
written 1
