1505455
/m/056kt5
/m/056kt5
Robert Silverberg
1970
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
1200metertall 1
24th 1
723 1
a 10
about 1
across 1
after 1
alien 1
all 1
allows 1
alone 1
alpha 2
also 1
an 4
and 9
android 3
androids 8
annihilated 1
announces 1
another 1
as 3
attacks 1
based 1
be 2
been 1
building 1
but 1
by 2
canadian 1
causes 1
century 1
collapse 1
communicate 1
connected 1
construction 2
control 1
convince 1
created 1
creator 2
crewed 1
danger 1
despairs 1
destroyed 1
directed 1
directs 1
discovers 1
distant 1
does 1
dream 1
earth 3
edifice 1
empire 1
enabled 1
engraged 1
entrepreneurtycoonscientist 1
equal 2
even 1
eventually 2
faith 1
faithful 1
fall 1
falls 1
father 1
female 1
fight 1
flees 1
for 1
form 1
freedom 1
from 2
give 1
glass 1
grave 1
has 3
have 2
he 1
heir 1
her 1
hibernation 1
him 1
his 6
however 1
humanity 2
humans 3
immense 1
in 7
including 1
indecipherable 1
indirect 1
insists 1
installations 1
intelligent 1
intends 1
intention 1
into 2
invented 1
involves 1
is 7
jobs 1
key 1
kill 1
krug 12
latter 1
leading 1
lilith 2
link 1
longsuppressed 1
loses 1
love 1
make 1
man 1
manipulated 1
manipulation 1
manuel 3
many 1
means 1
mere 1
meson 1
message 2
mind 1
minds 1
monument 1
most 1
nature 1
nearlycomplete 1
nebula 1
never 1
ngc 1
no 1
not 1
of 12
off 1
on 1
one 1
other 1
others 1
planetary 1
plot 1
probably 1
probe 1
pushed 1
race 1
rage 1
realizing 1
rebel 1
received 1
regards 1
relationship 1
religion 4
room 1
secret 1
send 1
sent 1
serve 1
sexual 1
shunt 1
simeon 1
some 1
son 1
star 1
starship 2
system 1
take 1
technologically 1
telepathy 1
teleporter 1
telling 1
that 4
the 18
their 4
them 2
then 1
there 1
things 1
thor 10
though 1
through 2
to 12
towards 1
tower 3
treating 1
true 1
tundra 1
unable 1
unaware 1
unprogrammed 1
via 1
vision 1
walk 1
was 1
watchman 1
way 1
weakwilled 1
wealthiest 1
which 4
who 1
will 1
with 4
wombborn 1
worldwide 1
