4459865
/m/0c3nf0
/m/0c3nf0
Poul Anderson
1974
a 2
also 1
and 1
anu 1
around 1
as 1
bel 1
changing 1
civilization 1
collapse 1
dramatic 1
dynamics 1
ea 1
earth 1
engaged 1
every 1
fire 2
flee 1
from 1
heat 1
heats 1
hemisphere 1
history 1
in 3
increase 1
ishtar 1
ishtarians 1
large 1
leading 1
northern 1
numbers 1
of 5
offplanet 1
on 1
orbit 1
own 1
peculiar 1
place 1
planet 1
presence 1
prospect 1
raises 1
results 1
south 1
stars 1
takes 1
the 6
their 1
thousand 1
three 1
time 2
to 1
up 1
visitors 1
war 1
whose 1
years 1
