2778204
/m/0823zn
/m/0823zn
Marilynne Robinson
2004-11-04
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 21
abandonment 1
able 2
abolitionist 1
above 1
abstract 1
acclaim 1
account 1
achieve 1
action 1
actions 1
adapted 1
affection 1
african 1
after 3
age 1
aka 1
all 3
allowed 1
also 2
although 1
american 2
ames 22
an 4
and 41
anecdotes 1
angeline 1
any 1
apparent 1
appears 1
apple 1
are 4
as 11
ashy 1
asked 1
at 3
atheist 1
audience 1
awe 1
baptist 1
baptizes 1
basic 1
be 1
because 2
been 1
before 3
being 1
belief 1
bestow 1
bible 1
birth 1
biscuit 1
bloodied 1
book 3
both 1
boughton 10
breaking 1
brother 1
brown 1
burned 1
but 3
by 3
calvin 1
can 1
carried 1
chaplain 1
character 1
child 1
christian 2
church 2
civil 2
clear 1
closing 1
common 1
commonlaw 1
commune 1
communion 1
congregation 1
congregationalist 1
content 2
context 1
contrast 1
course 1
culminating 1
daughter 2
dear 1
death 2
deeply 2
describes 1
desertion 1
despite 3
details 2
develops 1
died 3
disgrace 1
disliked 1
distinction 1
dnouement 1
earlier 1
eccentricities 1
efforts 1
emerges 1
engagement 1
especially 2
event 1
eventually 1
experiences 1
explaining 1
eye 3
eyes 1
failings 1
family 7
father 7
feel 1
feelings 1
feels 1
feuerbach 1
first 1
following 1
for 8
forced 1
forces 1
forgive 1
forgiveness 1
friend 1
from 13
fronts 1
fulfill 1
genuine 1
gilead 2
girl 1
given 2
giving 3
god 1
good 1
grandfather 7
grave 1
great 1
greatly 1
growing 1
guerrilla 1
gun 1
had 1
happiness 1
hard 2
hardships 1
has 4
he 11
her 3
him 3
himself 1
his 33
holy 1
hostility 1
however 2
ignore 1
illustrated 1
implied 1
important 1
in 24
incited 1
institutes 1
intimate 1
into 1
invented 1
iowa 1
is 14
it 8
its 1
jack 6
jealousy 1
john 4
join 1
knowledge 1
known 1
knows 1
later 1
laws 1
learns 1
leaving 2
left 1
legacy 1
lesseducated 1
level 1
lies 2
life 1
lifelong 1
lifestyle 1
lightning 1
lila 4
limitations 1
link 1
live 1
lives 1
local 1
loneliness 2
look 1
loss 2
louisa 1
lunch 1
made 1
maimed 1
mainly 1
mainspring 1
manner 1
many 2
meaningful 1
meets 1
memoir 1
memoirs 1
memories 1
memory 2
men 1
might 1
minister 1
ministers 1
mistrust 1
moments 1
most 1
much 3
narrator 1
near 1
never 2
not 1
notorious 1
novel 4
numerous 1
obtain 1
of 42
offer 1
on 2
one 4
openly 1
or 1
orations 1
other 1
others 1
out 3
own 3
pacifist 1
pages 1
parents 1
particularly 1
pathos 1
peace 1
pentecost 1
people 1
personal 1
philosophers 1
pieces 1
piercing 1
poor 1
position 1
possessions 1
povertystricken 1
practice 1
preached 1
preaching 1
prepares 1
presbyterian 1
presented 1
prevalent 1
profession 1
proposal 1
quickly 1
quotations 1
radical 1
reappears 1
rebecca 1
recalled 1
recalls 1
receiving 1
recognized 1
reference 1
reflects 1
regarding 1
rejects 1
relationship 3
religion 1
religious 1
remains 1
remarks 1
remembers 1
respects 1
results 1
returned 1
rev 1
revealed 1
reverential 1
right 2
sacred 1
search 1
second 1
secular 1
security 1
seduction 1
seeks 1
seen 1
segregationist 1
sense 2
separation 1
serenity 1
series 1
serve 1
served 1
share 2
sharing 1
she 2
shirt 1
should 2
side 1
situation 1
small 1
so 2
some 2
something 1
son 6
soon 1
sorrow 2
source 1
special 1
stability 1
stare 1
story 1
struggles 2
successful 1
such 1
suffering 2
sunday 1
sympathetic 1
tennessee 1
tension 1
that 10
the 58
their 5
theologians 1
theological 3
there 1
thereafter 1
things 1
this 4
three 2
through 2
throughout 1
to 15
together 1
towards 1
town 4
tragedy 1
transcendental 1
true 2
turns 1
twenty 1
uncaredfor 1
understanding 1
undone 1
union 1
university 1
unsolved 1
unusual 1
unwelcome 1
up 1
utterly 1
vocation 2
vocational 1
war 5
was 6
way 1
well 1
wellintended 1
what 2
while 1
who 6
whole 1
whom 2
widely 1
wife 4
wisdom 1
with 20
woman 1
world 1
writes 3
years 3
you 3
young 2
your 1
youth 1
