355167
/m/01zs4v
/m/01zs4v
Olaf Stapledon
1937
a 8
able 1
after 2
ago 1
an 2
and 13
another 1
any 1
are 3
artist 1
as 3
assesses 1
at 1
attains 1
begins 1
being 1
beings 1
body 1
book 3
both 1
but 1
by 2
called 1
calmly 1
christian 1
civilization 1
civilizations 1
climax 1
closely 2
collective 1
composed 1
contact 1
cosmical 1
cosmos 3
creator 1
describing 1
descriptions 1
detail 2
development 1
dimensions 1
directive 1
disembodied 1
drafts 1
dyson 1
earlier 1
earth 3
efforts 1
element 1
encounter 1
ends 1
england 1
entirely 1
essay 1
even 1
eventually 1
existed 1
expansion 1
explore 1
explores 1
exploring 1
feeling 1
finds 1
first 1
for 1
formation 1
from 4
galaxies 1
galaxy 1
groupminds 1
he 1
heaven 1
hell 1
himself 1
his 3
human 1
hypothesis 1
idea 2
ideas 1
imaginative 1
in 5
include 1
includes 1
including 1
individuals 1
inhabitants 2
instance 1
intelligent 1
interesting 1
is 6
it 1
its 3
itself 1
joined 1
key 1
known 1
later 1
less 2
level 2
light 1
linked 1
maker 3
makes 1
making 1
many 3
means 1
meeting 1
merges 1
methods 1
millions 1
mind 2
minds 2
moment 1
momentary 1
more 3
music 1
myth 1
narrator 2
nebulae 1
no 1
novel 2
now 1
of 22
on 3
one 2
operating 1
or 2
orthodoxy 1
other 2
our 2
out 1
own 1
paralleled 1
philosophical 1
planet 1
planets 3
points 1
predicting 1
pregalactic 1
presence 1
prime 1
process 1
quality 1
reality 1
reference 1
refers 1
relation 1
resembles 1
respectively 1
returning 1
same 1
savior 1
scale 1
scales 1
scenario 1
sciencefictional 1
similar 1
single 1
snowballing 1
some 1
space 1
spatial 1
species 1
sphere 1
stands 1
stapledon 1
star 4
stars 1
still 1
suffering 1
supreme 1
telepathically 1
that 4
the 34
then 1
these 1
they 2
this 2
thousands 1
three 1
time 1
title 1
to 8
together 1
toy 1
transported 1
travel 1
traveller 2
travellers 1
trek 1
triune 1
unexplained 1
universe 4
universes 1
vast 1
via 1
view 1
warfare 1
what 1
when 1
which 3
who 1
with 6
without 1
work 1
write 1
years 2
zoo 1
