1861922
/m/061x7_
/m/061x7_
Mercedes Lackey
1987-03
13th 1
a 19
able 1
about 1
acting 1
affiliated 1
after 1
allowed 1
also 2
ambush 1
an 2
and 21
anything 1
as 4
assignment 1
at 2
attempts 1
attend 1
attends 1
authorities 1
awakens 1
away 2
bards 1
be 3
because 2
become 1
becomes 1
been 2
before 1
begins 1
behavior 1
being 3
believes 1
birthday 1
block 1
blossoming 1
blues 3
bond 1
book 1
border 1
both 1
brat 3
bratty 1
but 1
by 5
calm 1
can 3
capital 1
captured 1
carefully 1
caretaker 1
carrying 1
child 1
chooses 1
choosing 1
chosen 1
circle 1
clan 1
class 1
classes 1
collegium 4
committing 1
companion 2
councilor 1
dealings 1
deals 1
declaring 1
delighted 1
demonstrates 1
describes 2
designed 1
desire 1
details 1
dirk 2
disappearing 1
distance 1
documents 2
does 1
drown 1
earned 1
elspeth 5
empathically 1
empathy 1
encounters 1
everything 1
experience 1
explain 1
exploring 1
family 2
farm 1
feels 1
female 1
fetch 1
few 1
final 1
finally 1
find 1
first 1
flees 1
for 1
former 1
fourth 1
friendship 1
from 6
gathering 1
get 1
gift 4
girl 1
given 1
group 3
had 1
has 2
haven 4
he 1
healers 1
heirpresumptive 2
help 1
her 20
herald 8
heraldand 1
heraldic 1
heralds 2
heraldtrainee 1
heretically 1
hiding 1
his 1
holderkin 2
holiday 1
hopes 1
horselike 1
hospitalized 1
however 1
hulda 4
icecovered 1
important 1
in 5
including 3
influence 1
information 2
ink 1
intending 1
intimidate 1
into 1
introduced 1
is 13
jadus 1
journey 1
keren 1
kiff 1
know 1
known 1
kris 2
last 1
leads 1
learning 1
learns 1
lifemate 1
lives 2
make 1
man 1
marriage 2
meets 1
memory 1
midwinter 1
miles 1
mind 1
murder 2
mysterious 1
never 2
new 1
nickname 1
north 1
not 3
number 1
of 22
offer 1
on 6
or 1
ordeal 1
orders 1
out 1
own 1
passes 1
people 1
pet 1
physical 1
pickpocket 1
place 1
places 1
pneumonia 1
polygynous 1
princess 3
psychically 1
psychologically 1
queen 2
question 1
quieted 1
range 1
reaching 1
reforming 1
rejects 1
religiously 1
remain 1
respect 1
responsibilities 1
rest 1
river 1
rolan 4
role 1
royal 1
sanity 1
saves 1
second 1
section 4
see 1
selenay 2
senses 1
several 2
she 16
shoves 1
site 1
skif 1
so 1
socially 1
southern 1
spelled 1
spend 1
spoiled 1
starts 1
stay 1
strength 1
strict 1
students 1
subjected 1
submission 1
subsequent 1
suicide 1
survives 1
take 2
takes 1
talia 18
temporary 1
that 3
the 46
then 1
thief 1
third 1
this 2
though 1
throne 1
throw 1
thus 1
time 1
timed 1
times 1
to 21
torment 2
tours 1
trainees 1
training 1
travel 1
trips 1
turned 1
turns 1
until 1
up 1
upon 1
use 2
valdemar 2
wants 1
warned 1
was 2
ways 1
weeks 1
well 1
when 2
which 3
while 1
who 3
will 2
with 10
within 1
without 1
witnesses 1
year 1
ylsa 3
young 1
