12783947
/m/02x4sp9
/m/02x4sp9
Raymond Benson
1999
a 2
adapted 1
after 1
also 2
and 4
begins 1
benson 2
between 1
bond 4
bruce 1
by 2
carrying 1
cigar 1
closely 1
cut 1
da 1
details 1
die 1
does 1
elektra 1
enough 1
example 1
except 1
feirstein 1
followed 1
for 1
fourth 1
from 2
gave 1
girl 1
giulietta 1
her 2
his 1
immediately 1
in 1
instead 2
is 2
it 1
james 1
name 1
neal 1
newer 1
not 2
novel 2
novelist 1
of 1
p 1
ppk 1
purvis 1
quietly 1
raymond 1
release 1
renard 1
retained 1
robert 1
scene 1
screenplay 1
she 1
shoots 1
sing 1
some 1
still 1
story 1
that 1
the 6
theatrical 1
thencurrent 1
to 1
vinci 1
wade 1
walther 1
was 3
world 1
