5315051
/m/0df2wt
/m/0df2wt
Dave Stone

a 2
access 1
accidentally 1
allow 1
although 1
american 1
an 1
and 2
anomaly 4
been 1
by 1
complicated 1
console 1
created 2
crisis 1
deal 1
detection 1
different 1
dimensional 1
do 1
doctor 5
each 1
ends 1
enters 1
equipment 1
escape 1
ever 1
experiment 1
forcibly 1
fourth 4
from 2
gain 1
has 2
hide 1
him 1
himself 1
in 3
inaccessible 1
interior 1
involving 1
is 1
make 1
materialising 1
meeting 1
meets 1
neither 1
of 1
on 1
opposite 1
order 1
other 1
outside 1
recruited 1
renders 1
repair 1
romana 2
same 1
second 4
ship 1
side 1
stating 1
subsequently 1
tardis 2
that 3
the 19
things 1
to 6
too 1
town 1
trapped 1
travel 1
under 1
when 2
while 1
with 1
would 1
