2830266
/m/02wv9h4
/m/02wv9h4
Gillian Rubinstein
2003
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 10
abductors 1
abilities 1
accidentally 1
accompanied 1
acrobats 1
across 1
advice 1
affection 1
after 1
afterwards 1
against 1
agrees 1
akio 3
an 1
and 17
arai 3
are 2
as 4
assassinate 1
assists 1
association 1
at 3
attacks 1
attempt 1
attracts 1
away 1
battle 1
battles 1
be 1
because 1
become 1
becomes 1
before 2
being 2
believe 1
between 1
blind 1
but 3
buy 1
by 5
chance 1
charged 1
child 4
childhood 1
closed 1
closing 1
come 1
coming 1
compiled 1
could 1
courage 1
creates 1
daughter 1
day 2
dead 1
death 3
decides 2
delivers 1
despair 1
despite 2
detected 1
determines 1
die 1
directed 1
discovers 1
discuss 1
disgrace 1
disguise 1
disobedience 1
disrepair 1
dreams 1
enters 1
escape 1
estate 1
except 1
excuses 1
exlover 1
explain 1
extraordinary 1
fails 1
family 1
father 2
fears 1
find 1
floor 1
for 4
four 1
from 7
frustrated 1
fujiwara 2
furious 1
future 1
gender 1
genuine 1
get 1
given 1
goddess 1
goes 2
gone 1
gravely 1
had 1
hands 1
has 3
hatred 1
haunt 1
having 1
he 8
head 1
heard 1
hearing 1
her 14
herself 1
hidden 1
him 6
his 8
home 2
hope 1
house 2
however 1
ill 1
imperial 1
in 6
inherit 1
inside 1
intention 1
interest 1
into 1
is 8
kaede 9
kenji 1
kept 1
kikuta 2
killing 1
kondo 2
labour 1
lands 1
last 2
leaves 1
life 1
lives 2
lord 1
lose 1
losing 1
makes 1
makoto 1
many 1
marriage 2
marry 1
matsue 1
meanwhile 1
meet 1
member 1
men 1
miscarries 1
mission 1
monk 1
mother 1
must 2
mutual 1
nearby 1
nightingale 1
no 1
noble 1
north 1
not 1
notion 1
now 1
of 8
off 2
old 1
on 3
once 1
one 4
only 1
over 1
overlord 1
own 2
pass 1
patient 1
peace 1
pregnant 2
prophecy 1
reaches 1
realizes 1
records 2
recovers 1
relationship 1
reluctantly 1
rescue 1
retainer 1
retrieve 1
return 1
returns 1
reveals 1
safe 1
sea 1
seafive 1
search 1
secret 1
secrets 1
send 1
sends 2
sentence 1
shakes 1
she 7
shigeru 3
shirakawa 1
shizuka 5
sleep 1
slowly 1
snow 2
so 1
son 1
south 1
spring 1
stating 1
stretch 1
suddenly 1
take 3
taken 1
takeo 12
teaching 1
terayama 5
that 5
thaws 1
the 27
their 3
them 1
themtakeo 1
there 2
they 3
though 1
to 20
towards 1
traveling 1
travels 2
tribe 10
under 2
underestimated 1
via 1
visit 1
visits 1
was 1
way 2
white 1
who 4
whole 1
whom 2
will 4
win 1
winter 1
with 11
without 1
woman 1
would 1
yamagata 1
you 3
your 2
yourself 1
yuki 1
