616887
/m/02x0p7
/m/02x0p7
John Sladek
1970
170s 2
a 7
accident 1
adolf 1
african 1
also 1
america 1
american 1
americans 1
an 2
and 6
anticommunist 1
as 4
backed 1
based 1
be 4
being 2
between 1
birch 1
bob 2
body 1
by 1
can 4
chair 1
chairs 1
character 1
characters 1
closely 1
color 1
computer 1
conventional 1
course 1
data 2
destroying 1
encoding 1
entire 1
evangelism 1
explodes 1
flesh 1
focuses 1
for 2
forces 1
four 1
from 2
future 1
game 1
government 1
groups 1
have 1
he 2
heavily 1
his 1
hitler 1
human 1
identity 1
in 8
including 1
individual 1
infecting 1
into 1
is 8
john 1
macguffin 1
magazines 1
main 1
major 1
mdash 1
men 1
military 1
mind 1
mllerfokker 2
motion 1
musical 1
nazism 1
near 1
novel 2
numerous 1
obsessed 1
of 4
on 5
one 1
only 1
other 1
parallels 1
people 1
person 2
pink 1
politics 1
possess 1
premise 1
project 1
prominent 1
purposes 1
qualities 1
racist 1
radical 1
recast 1
reconstructed 1
recorded 2
reeltoreel 1
resurrected 1
rightwing 1
satirize 1
sciencefiction 1
see 1
semiliterate 1
set 1
shairp 2
sitting 1
sladek 1
society 1
someone 1
something 1
somewhat 1
somewhere 1
store 1
stored 1
struggle 1
subplots 1
such 1
tape 1
tapes 7
test 1
that 3
the 15
there 1
these 1
this 1
time 2
to 2
too 1
up 1
uploading 1
various 1
virus 2
when 1
which 1
with 2
worker 1
would 1
