3505740
/m/09h5zj
/m/09h5zj
Jennifer Haigh
2003-02-01
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
12 1
14 1
16 1
17 1
170s 1
1year 1
25 1
32 1
40 1
51 1
65 1
a 18
about 2
accepts 1
accommodation 1
affair 2
affordable 1
after 5
age 3
all 1
alleged 1
alone 1
although 1
an 4
and 16
as 5
at 5
attack 1
attracted 1
babysit 1
background 1
be 1
because 1
become 1
becomes 1
been 2
bell 1
bible 1
birdie 5
born 1
break 1
breast 2
breasts 1
brendan 1
broker 1
business 1
but 1
by 1
can 1
cancer 2
chance 2
chaplain 1
character 1
charlie 5
cheer 1
child 1
children 4
cohen 1
college 1
community 1
company 1
curtis 1
day 1
dc 1
descent 1
desertion 1
despicable 1
despite 1
died 1
dies 2
diet 1
dinah 4
disappears 1
discovered 1
does 1
due 1
embezzling 1
end 1
escapes 1
especially 1
estate 2
exercise 1
extramarital 1
eyeopener 1
family 1
father 1
faulty 1
feels 1
female 1
fetch 1
few 1
find 1
finds 2
first 1
florida 3
for 4
forced 1
from 3
furnace 1
gains 1
gardener 1
get 2
getting 1
governmentfunded 1
had 1
happiness 1
has 5
have 5
he 9
heart 1
her 7
him 1
his 13
hoping 1
houses 1
husband 2
illness 1
in 13
inherits 1
invites 1
is 7
it 3
jewish 3
joan 7
jody 4
junior 1
ken 16
kids 1
kimble 2
kimbles 1
knows 1
large 1
last 1
late 1
law 1
leaves 1
lifelong 1
like 1
little 1
lot 1
lovers 1
mabry 1
many 1
married 2
marries 1
meeting 1
might 1
minister 1
missouri 1
moira 3
money 3
months 1
more 1
move 1
moves 1
naively 1
nanny 1
need 1
new 1
nonprofit 1
nothing 1
novel 1
now 1
of 14
offering 1
old 2
on 2
one 6
only 2
organisation 1
over 2
own 2
past 1
pastor 1
persuades 1
photograph 1
pretends 1
professional 1
project 1
providing 1
raised 2
real 2
realizes 2
recognition 1
recovering 1
refused 1
regular 1
removed 1
repaired 1
resign 1
responsible 1
reunion 1
rich 1
richmond 1
room 1
sees 1
sells 1
serves 1
set 1
she 5
sister 1
small 1
snell 1
so 1
solace 1
some 2
son 2
soon 4
spot 1
starts 2
steals 1
strict 1
students 2
sums 1
sweetheart 1
take 2
takes 2
teenage 1
than 1
thanksgiving 1
that 6
the 14
they 3
those 1
to 14
tricks 1
truth 1
two 2
unable 1
under 1
until 1
up 3
used 1
vacation 1
virginia 1
washington 1
when 4
which 2
while 1
who 2
with 5
woman 1
work 1
working 2
years 2
