848382
/m/03gv05
/m/03gv05
Simon Scarrow
2001-08-02
{"/m/02p0szs": "Historical fiction", "/m/0hwxm": "Historical novel"}
a 27
able 4
about 1
accidentally 2
african 1
after 2
afterwards 1
again 1
agrees 1
ahead 2
all 2
allied 1
ambush 1
ambushed 1
an 3
and 25
anguish 1
approaches 1
are 6
arena 1
army 2
armys 1
arrive 2
arrives 1
artillery 1
as 7
assassin 1
assassinate 1
assault 2
at 5
attack 3
aware 1
away 1
back 2
badly 1
bandage 2
bank 3
banks 1
banquet 2
battle 2
bay 1
be 3
become 1
been 1
before 4
behind 1
being 3
believes 1
believing 1
bequeathed 1
bitterness 1
boat 1
body 1
bodyguards 1
boiling 1
book 2
boost 1
boudicca 1
break 1
british 4
briton 2
britons 4
buffoonery 1
burned 1
but 2
by 11
called 3
camulodunum 2
can 2
capital 1
caratacus 1
carthaginian 3
catch 1
cato 18
catos 1
cauldron 1
celebrate 1
centurion 1
certain 1
chain 1
charge 1
charms 1
chastises 1
cheating 1
chief 1
claudius 6
clear 1
clearing 1
coded 1
comes 1
coming 2
command 3
concerns 1
connections 1
conquest 1
consorted 1
covered 1
credit 1
crosses 1
crossing 3
dagger 2
day 2
days 1
dead 1
death 1
decides 1
declared 1
despite 1
disappeared 1
discover 2
discretely 1
distracted 2
distraught 1
does 3
eagle 1
elephants 1
emperor 8
emperors 3
encampment 1
enemy 1
enlists 1
enough 1
escape 1
escorted 1
events 1
evil 1
expect 1
falters 1
far 1
feast 1
feebleminded 1
few 1
fiddling 1
fight 1
final 2
finally 1
finds 1
finishes 1
fire 1
first 1
fit 1
flavia 1
fool 1
for 10
ford 2
fortified 1
friendship 2
from 4
german 1
get 1
gets 2
gift 1
girl 1
given 1
goes 1
group 1
guard 1
hall 1
halt 1
handful 1
has 4
have 2
having 2
he 16
heading 1
heavily 1
heavy 1
held 2
high 1
him 8
himself 1
his 15
holds 1
honour 1
hope 2
however 1
if 1
immediately 1
in 24
independent 1
insists 1
intended 1
intervention 2
into 2
introduce 1
investigating 1
is 34
it 6
ivoryhilted 1
kent 2
kill 1
killed 1
knocked 1
last 2
late 1
latest 1
lavinia 5
lavinias 1
lavish 1
leaps 1
leaves 2
leaving 1
legate 2
legion 5
legionaries 1
legionary 1
legions 3
lets 1
liaison 1
liberators 2
lines 1
linked 1
live 1
long 1
losses 1
lost 1
loyal 1
macro 7
macros 1
makeshift 1
march 1
markings 2
marshes 3
meadway 1
meanwhile 2
medway 1
men 1
message 1
mind 1
missing 1
mission 1
mob 1
months 1
mortally 2
moves 1
murders 1
name 1
next 2
night 1
ninth 1
nisus 4
nisuss 1
north 2
not 1
of 21
off 2
on 8
one 2
only 3
opens 1
opposite 1
or 1
ordeal 1
ordered 2
orders 2
ornate 1
out 3
over 2
overawe 1
overrunning 1
ownership 1
pacify 1
patriotism 1
person 1
playing 1
plinius 1
plot 1
plotting 1
pocket 1
popularity 1
position 1
power 1
praetorian 1
preparation 1
present 1
presentday 1
presented 1
presumed 1
previously 1
prisoners 1
promises 1
pushed 1
put 1
ramparts 1
reach 1
read 1
reappears 1
received 1
recognised 1
recuperating 1
relationship 1
relaxing 1
remnants 1
renews 2
resist 1
resistance 2
respected 1
revolutionaries 1
river 4
rollcall 1
rolled 1
roman 1
romans 1
rome 4
saves 1
saving 1
saviour 1
saw 1
scattered 1
scout 1
second 4
see 2
sentry 1
she 7
side 1
slave 1
slingshot 1
slip 1
smuggle 1
so 1
some 2
soon 1
south 1
southern 1
spend 1
spills 1
staff 1
stores 1
strange 1
strikes 1
suicide 1
supported 1
supposedly 1
surgeon 2
surprise 1
survive 1
survived 1
sustaining 1
sword 1
take 1
taken 1
takes 1
taking 1
talk 1
tamesis 1
tasked 1
tenacity 1
thames 3
thanks 1
that 4
the 88
their 1
them 2
there 3
these 1
they 2
thinks 1
this 3
thought 1
time 2
to 35
tow 1
traitor 1
tribes 1
tribune 2
triremes 1
troops 2
twilight 1
under 2
unfortunately 2
unit 1
up 4
upstream 2
uses 1
using 2
vespasian 4
vespasians 1
victory 1
vitellius 7
volunteers 1
waiting 1
want 1
war 1
warband 1
warn 1
was 1
watching 1
water 1
wave 2
way 1
when 5
which 1
while 6
whilst 1
who 9
wife 2
with 15
woken 1
won 1
worries 1
worth 1
wound 1
wounded 1
young 1
