5182384
/m/0d6nll
/m/0d6nll
Paul Magrs

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
170s 1
a 2
above 1
adventurerer 1
adventures 1
aid 1
allies 1
and 4
anthology 1
at 1
audio 2
bargains 1
be 1
big 1
by 1
century 1
characters 1
companion 1
creatures 1
cut 1
determined 1
devil 1
doctor 3
dramas 1
duplicate 1
finish 1
friends 1
from 2
grant 1
guise 1
her 1
his 1
in 5
infiltrate 1
iris 3
is 2
jo 1
katy 1
large 1
later 1
london 1
manning 1
many 1
ms 1
mysterious 1
nineteenth 1
novels 1
of 4
off 1
on 1
orbiting 1
pancras 1
played 2
railway 1
reappear 1
ship 1
st 1
station 1
stop 1
the 10
to 2
tom 1
top 1
who 2
wildthyme 5
with 1
would 1
