4057741
/m/0bfycb
/m/0bfycb
Lawrence Schick

16 1
17 1
22 1
23 1
26th 1
27 1
a 20
according 1
add 1
adventure 3
aegwareth 2
ago 1
air 1
an 3
and 4
are 2
as 1
at 1
base 1
be 1
bedraggled 1
begin 1
blackrazor 1
boiling 2
by 3
campaign 1
cave 3
ceiling 1
characters 9
circular 1
collect 1
company 1
confront 1
continues 1
corridor 2
crab 1
crawl 1
crayfish 1
creatures 1
darkness 1
defeat 1
defeated 1
descended 1
different 1
disappeared 1
divided 1
dodging 1
dome 1
dragons 1
druid 1
dungeon 3
dungeons 1
each 1
earliest 1
efreet 1
eighth 1
elastic 1
encounter 9
encounters 1
end 1
evil 1
fight 1
find 1
first 1
floor 1
for 1
forcefield 1
forming 1
frictionless 1
from 4
geysers 1
giant 3
gnomes 1
gnomish 1
greyhawk 1
guarded 1
guarding 1
gynosphinx 1
hammer 1
have 1
his 1
hot 1
hundred 1
if 1
in 15
including 1
inhabitant 1
into 4
involves 2
is 7
jump 1
kayak 1
keeps 1
keraptis 3
known 2
lair 1
lake 2
large 1
last 1
later 1
leads 2
level 1
lions 1
mage 1
magic 1
magical 6
mangy 1
manticores 1
master 1
mid 1
monster 1
mountain 6
mud 2
must 4
note 1
numbered 1
of 11
ogre 1
on 1
opens 1
or 1
order 2
out 2
over 1
pages 1
permanent 1
platform 2
platforms 1
player 1
plume 4
premise 1
recommends 1
rescue 1
room 2
rubbery 1
scorpions 1
sea 1
servitors 1
set 1
setting 1
seven 1
skin 1
slain 1
sort 1
spikes 1
spiral 1
staircase 1
stream 1
succeeded 1
supertension 1
suspended 2
sword 1
taking 1
that 3
the 38
thirteen 1
three 1
to 7
took 1
trident 1
tunnel 1
two 2
under 1
vampire 1
various 1
volcanic 1
volcano 1
war 1
waters 1
watery 2
wave 1
weapons 2
whelm 1
where 2
which 1
while 1
white 4
who 2
win 1
with 5
wizard 1
wooden 1
world 1
years 1
ziggurat 1
