2327814
/m/07425t
/m/07425t
Terry Brooks
2002-09-02
a 6
actions 1
airships 1
already 1
and 5
as 1
at 1
awesome 1
be 1
before 1
bek 2
boh 1
brother 1
but 2
causing 1
centuriesold 1
charged 1
combined 1
command 1
confront 1
control 1
crew 1
dead 1
deeds 1
deep 1
destroy 3
determined 1
died 1
disciple 1
does 1
druid 1
enemies 1
exposed 1
fabled 1
feeds 1
find 1
flee 1
fleet 1
for 2
forced 1
foster 1
four 1
from 1
go 1
goal 1
going 2
grianne 1
has 2
he 3
heavy 1
her 8
him 1
his 4
home 2
horrifying 1
ilse 2
important 1
in 1
into 1
is 6
its 1
jerle 1
keep 1
lands 1
magic 3
men 1
might 1
mind 1
morgawr 2
new 1
now 1
of 8
ohmsford 1
one 1
only 1
order 1
own 1
paid 1
paranor 1
parkasia 1
persuades 1
power 1
price 1
protector 1
pursuit 1
rather 1
redeem 1
relentless 1
shannara 2
she 4
sorcerer 1
souls 1
sword 1
task 1
than 1
the 12
their 1
they 2
this 1
to 13
truth 1
twofold 1
unimaginable 1
upon 1
use 2
using 1
very 1
walker 2
walking 1
when 1
who 2
will 1
witch 3
with 3
