5624552
/m/0dwydk
/m/0dwydk
Kelley Armstrong
2005
a 4
afterlife 1
an 2
and 4
any 1
armstrong 1
at 1
bad 1
been 2
before 1
black 1
by 1
call 1
called 1
chaos 1
communicate 1
cortez 1
damage 1
dangerous 1
daughter 1
dead 1
death 1
desperate 1
devoted 1
does 1
down 1
enemy 1
escaped 1
eve 4
evil 1
expert 1
fates 2
favour 1
featuring 1
feeding 1
fifth 1
find 1
for 2
from 1
halfdemon 1
has 2
haunted 1
have 2
hell 1
her 3
however 2
hunt 1
hunters 1
in 3
is 4
isnt 1
kelley 1
kill 1
levine 1
lucas 1
mad 1
more 1
mother 1
nix 2
novel 1
now 1
of 2
on 1
other 1
otherworld 1
paige 1
people 1
persuading 1
plans 1
previous 1
process 1
savannah 1
sent 1
series 1
she 2
spirit 1
the 10
they 1
though 1
three 1
to 4
too 1
want 1
ward 1
way 1
whilst 1
winterbourne 1
witch 1
with 1
women 1
written 1
years 1
