14788819
/m/03gx_l7
/m/03gx_l7
Jenny Valentine
2007-01-03
a 9
abandoning 1
about 5
act 1
after 1
ago 1
alias 1
alive 1
almost 1
an 2
and 12
apollo 1
are 1
as 3
asks 1
back 1
be 3
because 2
before 1
beginning 1
bob 2
book 1
brilliant 1
brother 1
buried 1
but 1
by 2
cab 5
came 1
can 2
caring 1
cars 1
circumstances 1
completely 1
crucial 1
dead 1
decides 2
different 1
does 1
doesnt 1
dog 1
even 1
evidence 1
family 2
fantasising 1
father 4
fight 1
finally 1
finds 3
five 1
friend 1
from 1
get 6
give 1
goes 1
going 1
grandmother 1
has 3
having 1
he 12
head 1
hear 1
him 2
his 8
home 2
how 1
husband 1
in 2
inside 1
into 2
investigate 1
is 8
isnt 1
it 2
jack 1
jed 2
kicks 1
known 1
knows 1
later 5
left 1
like 1
live 1
living 2
lucas 14
medium 1
memory 2
mercy 1
missing 1
moment 1
more 3
mother 2
much 1
mysterious 2
name 2
next 1
nicky 4
norman 3
novel 1
now 1
obsession 1
of 6
old 2
or 2
out 1
owner 1
pansy 2
pansys 1
person 1
pete 2
petes 3
piece 1
plan 1
pocket 1
random 1
rid 2
right 1
ruining 1
runs 1
searching 1
sees 1
she 2
shocked 1
shocks 1
shop 4
should 1
shouting 1
show 1
sister 1
sixteen 1
small 1
so 1
something 3
somethings 1
soprano 1
starts 2
still 1
stroke 1
strokes 1
sure 1
swain 1
tell 1
tells 2
that 6
the 13
their 1
then 4
they 1
things 2
thinks 1
though 1
through 1
to 16
tony 1
under 2
urn 1
used 1
violet 7
walking 1
want 1
wants 2
watch 1
were 1
what 1
when 1
where 2
whether 1
who 1
whose 2
with 2
worriedfrustrated 1
would 1
writing 1
wrong 1
year 1
years 1
