14109968
/m/03ctz9p
/m/03ctz9p
Winston Groom
1986
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
110 1
18 1
242 1
6 2
a 14
accent 1
adventures 1
after 4
again 1
alabama 2
all 4
also 2
an 4
and 19
ape 1
are 1
army 2
as 3
asks 1
astronaut 1
at 4
author 1
baez 1
band 1
bear 1
bedford 1
been 1
bob 1
bonnie 1
book 1
books 2
brief 1
bryant 1
bubba 3
business 1
by 4
called 2
cannibals 1
captured 1
careers 1
center 1
champion 1
championship 1
chess 1
child 1
china 1
clyde 1
cognitive 1
college 2
considered 1
covering 1
curran 1
dan 1
deferred 1
dies 1
disabilities 1
do 1
doesnt 2
done 1
dreamt 1
dunce 1
dylan 1
education 1
end 1
enjoys 1
errors 1
even 1
female 1
finally 1
finished 1
first 1
flunks 1
folk 1
football 3
for 2
forrest 12
four 1
friend 1
gains 1
general 1
get 1
gives 1
go 1
goddam 1
goes 1
grade 1
grammatical 1
gump 1
has 2
he 13
hed 1
held 1
henderson 1
her 1
high 2
him 1
his 4
hollywood 1
home 1
honors 1
i 1
if 1
imagination 1
in 10
indicate 1
infatuated 1
infirmary 1
into 1
is 8
jenny 5
joan 1
join 1
joining 1
jus 1
kg 1
kitchen 1
legs 1
lessons 1
lie 1
lieutenant 1
life 3
livin 1
living 1
local 1
look 1
lost 1
m 1
make 1
man 1
mark 1
mary 1
me 1
meet 1
meets 3
memory 1
miss 1
mission 1
misspellings 1
mobile 1
music 1
my 2
naked 1
named 2
narrates 1
nasa 1
nathan 1
never 1
of 7
office 1
old 1
on 2
one 1
other 1
out 1
over 1
paul 1
peter 1
pingpong 1
play 1
player 1
playing 1
plays 2
popularity 1
pounds 1
principal 1
professional 1
raquel 1
reading 1
reads 1
recruitment 1
reentry 1
remember 1
rolled 1
room 1
sawyer 1
say 1
school 2
see 1
semester 1
she 1
shrimp 1
sixteen 1
songs 1
sorts 1
southern 1
starting 1
state 1
story 1
student 1
stunt 1
sue 1
takes 1
team 1
temporarily 1
test 1
tests 1
that 2
the 17
their 2
then 1
there 1
they 2
things 1
time 1
to 4
together 2
told 1
tom 1
tries 1
twain 1
two 1
union 1
university 1
uses 1
vietnam 1
walks 1
war 1
we 3
welch 1
well 1
when 3
where 1
while 3
who 2
whom 1
wildest 1
with 4
wrestler 1
years 2
you 1
