15064305
/m/03hg8yf
/m/03hg8yf
Danielle Steel
2003-06-03
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 5
ability 1
accepted 1
accompany 2
actress 2
after 2
agree 1
agrees 1
although 1
analyzes 1
and 6
anne 2
apartment 1
appear 1
are 1
as 1
at 1
by 1
celebrate 1
celebrations 1
central 1
circumstances 1
city 1
couple 1
couples 1
despite 1
diana 1
dies 1
donnally 1
during 1
endured 1
eric 1
film 1
first 1
forgiveness 1
friends 2
go 1
guest 1
have 1
her 1
hesitates 1
him 1
his 2
however 1
in 2
inviting 1
is 1
john 1
join 1
kindly 1
life 1
liking 1
men 1
morrison 1
move 1
much 1
new 4
not 1
of 1
on 3
park 1
pascale 1
persuasion 1
planned 1
plot 1
residing 1
robert 4
shortly 1
smith 1
some 1
st 1
suddenly 1
summer 2
take 1
the 10
their 2
them 1
they 1
throughout 1
to 8
together 1
tropez 1
vacation 2
whether 1
who 1
wife 1
with 1
women 1
year 3
york 1
younger 1
