28351130
/m/0crhhbc
/m/0crhhbc
Jack McDevitt

{"/m/06n90": "Science Fiction"}
1700 1
a 11
about 1
after 2
again 1
ago 1
almost 2
america 1
amongst 1
an 2
ancient 2
and 6
anew 1
arthur 1
band 1
been 1
before 1
begun 1
brother 1
built 1
by 3
cause 1
chaka 1
chicago 1
cities 1
city 1
civilization 1
collected 1
connecticut 1
copy 1
court 1
cover 1
decade 1
decides 1
devastated 1
died 1
disaster 1
discovered 1
earlier 1
enormous 1
ensues 1
estate 1
eventually 1
everyone 1
expedition 2
explorers 1
extraordinary 1
facility 1
find 1
finds 1
for 1
functions 1
future 1
gather 1
generations 1
group 1
have 4
haven 2
hundreds 1
in 5
is 5
kept 1
killed 1
king 1
knowledge 2
known 1
landscape 1
legendary 1
little 1
long 1
losing 1
magnificent 1
mankind 1
mark 1
means 1
members 1
milana 1
mississippi 1
named 1
north 1
novel 1
number 1
of 14
other 1
over 1
places 1
plague 1
postapocalypse 1
previous 1
prior 1
river 1
roadmaker 1
roads 1
ruins 2
safe 1
said 2
salvages 1
science 1
several 1
sole 1
some 1
still 2
stored 1
stronghold 1
struck 1
survivor 1
taking 1
team 2
that 4
the 17
their 1
themselves 1
there 1
they 1
to 6
towns 1
trade 1
transport 1
travelling 1
try 1
twain 1
united 1
valley 1
voyage 1
was 1
when 1
where 2
whose 1
woman 1
yankee 1
years 2
young 1
