20622273
/m/051zl9d
/m/051zl9d
D.J. MacHale

a 9
after 1
again 1
alexander 1
all 4
and 14
another 1
appear 1
are 10
as 8
attack 1
attacked 1
away 1
back 2
begins 1
bobby 6
building 1
buildings 1
by 4
caught 1
city 2
clouds 1
colony 1
confess 1
crumbling 2
dane 2
dark 1
defeat 4
delay 1
dies 1
disaster 1
each 1
earth 3
eelong 2
eleven 1
energy 1
essence 1
exiles 2
fact 1
family 2
far 1
fatal 1
father 1
fight 1
filled 1
first 1
foe 1
forcing 1
from 1
garshumans 1
gather 1
generation 1
gets 1
go 1
going 1
gray 1
halla 6
has 1
he 2
health 1
helicopter 1
helicopters 2
him 2
his 3
however 1
immediately 1
in 9
including 1
indeed 1
inflicted 1
intelligent 1
into 1
is 5
jungle 1
kasha 1
keeps 1
kleescats 1
kleesthe 1
know 1
lead 1
leads 1
leave 1
like 1
loor 2
make 1
meeting 1
met 1
moreover 1
mother 1
murder 1
naymeer 1
nearby 1
new 1
not 1
of 13
on 3
only 2
osa 1
other 1
overall 1
pass 1
people 1
pit 1
place 1
plan 1
portal 1
positive 1
power 1
press 2
proposes 2
protect 1
quickly 1
quite 1
ravinians 1
reflected 1
refuge 1
running 1
saint 2
saved 1
second 1
seegen 1
seek 1
senitent 1
should 2
so 1
solara 5
soldiers 1
souls 1
species 1
such 1
tell 2
ten 1
territories 1
territory 1
that 10
the 28
them 4
then 1
they 8
thinks 1
third 1
thus 1
to 6
together 1
transferred 1
transpired 1
transport 1
trapped 1
travelers 9
uncle 2
up 1
uses 1
victorious 1
victory 1
was 1
wasteland 1
wastleand 1
watch 1
when 1
who 1
with 3
would 1
york 1
zoo 1
