5369028
/m/0dhspn
/m/0dhspn
Gianrico Carofiglio
2002
{"/m/05hgj": "Novel"}
a 16
abbreviated 1
abdou 1
accepts 1
accused 1
acquittal 1
african 1
agrees 1
and 10
approaches 1
area 1
arrested 1
asks 1
at 2
attempt 1
bari 1
be 3
beaches 1
been 2
before 1
beginning 1
begins 1
bit 1
bound 1
boy 4
but 1
care 1
cell 1
certain 1
chance 1
child 1
claims 2
company 1
controversial 1
conviction 1
crime 2
denies 1
doesnt 1
drinks 1
either 1
end 1
even 1
evidence 1
fake 1
flat 1
for 6
found 1
friend 1
friends 1
from 1
gave 1
generally 1
gets 1
gives 1
good 2
guerrieri 2
guido 4
handbags 1
has 2
have 1
he 7
him 4
himself 1
his 4
hope 1
if 1
immigrant 1
in 4
inconsapevole 1
initially 2
innocence 1
into 1
involved 1
is 6
it 3
italian 2
ittestimone 1
judge 1
jury 1
kidnap 1
killing 1
knows 1
lawyer 1
least 1
less 1
life 1
long 1
longer 1
loses 1
mimo 1
moves 1
murder 1
no 2
novel 1
of 14
on 1
one 1
only 1
open 1
opt 1
opting 1
or 2
over 1
permanent 1
photograph 1
plwiadek 1
possession 1
possibility 1
powie 1
procedure 2
process 1
prosecution 1
protests 1
questioning 1
reduced 1
represent 1
result 1
saw 1
searched 1
seen 1
sells 1
senegalese 1
sentence 3
several 1
short 1
shortened 1
shown 1
slim 1
so 1
somewhat 1
splits 1
suicide 1
take 1
that 1
the 21
then 1
there 1
they 1
thiam 7
though 4
timeconsuming 1
times 1
to 5
track 1
trial 4
up 1
very 2
wants 1
were 1
when 1
where 1
whereby 1
who 2
wife 1
will 4
with 2
witness 1
witnesses 1
woli 1
young 1
