29949038
/m/0fqqp59
/m/0fqqp59
Margery Allingham
1963
{"/m/0lsxr": "Crime Fiction"}
a 2
after 1
albert 1
and 3
answer 1
as 1
baby 1
between 1
bombing 1
but 2
campion 1
can 1
charles 1
chief 1
discover 1
do 1
does 1
elope 1
find 1
future 1
have 1
his 1
in 1
inspector 1
is 1
it 1
julia 1
kept 1
kinnit 1
london 1
luke 1
mile 1
mystery 1
now 1
of 1
once 1
origins 1
question 1
recentlywidowed 1
redeveloped 1
refugee 1
secret 1
sreet 1
stand 1
street 1
the 6
their 1
them 1
timothy 1
to 2
trying 1
turk 1
wants 1
wartime 2
what 1
who 1
wickedest 1
with 2
