23465152
/m/06w7j4j
/m/06w7j4j
Robin Hobb

11yearold 1
a 36
abandoned 1
aboard 1
about 4
accepted 1
accuses 1
acidic 1
acquainted 1
across 1
added 1
admits 2
advances 1
adventure 1
after 2
again 1
against 2
age 1
ages 1
agreed 1
agreeing 1
agreement 1
agrees 3
alise 16
all 4
allowed 1
almost 1
already 1
also 1
amount 1
an 8
ancestral 2
and 52
anger 1
another 1
any 3
are 9
argument 2
arich 2
around 1
arrange 1
arranges 1
arrives 1
as 20
assert 1
assisted 1
at 4
attempts 2
attention 3
attracted 1
attraction 1
away 2
back 2
basks 1
be 9
bearing 2
because 1
been 4
befriends 1
begin 1
beginning 1
begins 2
begs 1
being 2
believe 1
believes 1
belong 1
betrothed 1
between 3
bingtown 1
birth 1
blackmailed 1
blackmailer 1
blood 1
body 1
book 2
both 1
build 1
but 5
by 9
can 2
cannot 1
captain 6
carrying 1
casing 1
cassarick 2
caused 1
certain 1
chagrin 1
chalced 1
chalcedean 1
chapter 1
charming 1
child 3
childhood 1
cities 1
city 2
claim 1
claiming 1
claims 1
claws 1
closes 1
comes 3
communicates 1
companion 1
companionship 1
company 1
completely 1
compliments 1
conceiving 1
concern 1
confirm 1
confirms 1
confronting 1
confronts 1
consistent 1
constant 1
consume 1
consumed 1
continue 1
continues 1
contract 6
convenience 1
convince 2
convinces 1
copper 2
could 1
council 4
currently 1
damaging 1
dangerous 1
days 1
deaf 1
death 1
decides 3
defects 1
demand 1
demands 1
desperately 1
despite 1
die 2
dies 1
differences 1
different 1
disappointed 1
disappointment 1
discouraged 1
disfigured 1
displeased 1
distraught 1
distrust 1
does 3
done 1
dont 1
dragon 15
dragons 24
due 1
each 1
ears 1
eaten 1
effort 1
efforts 1
eldering 1
elderling 1
elderlings 1
elk 1
elses 1
encase 1
encased 1
ending 1
enjoys 2
enough 1
even 1
event 1
everyone 1
exchange 1
expedition 3
expert 1
extensive 1
eye 1
fact 2
failure 1
fall 1
family 1
fancies 1
farewell 1
fate 1
father 5
fears 1
feeble 1
feed 2
female 1
festering 1
few 1
fidelity 1
fight 1
filled 1
finally 1
financial 1
finbok 1
find 3
finds 3
finish 1
finished 2
first 3
flesh 1
fly 1
food 1
for 18
forbidden 1
forcefully 1
found 1
four 1
freckled 1
freed 1
freely 1
friend 2
from 15
fund 1
furious 3
gained 1
get 2
gets 1
getting 2
girl 2
give 3
given 1
giving 1
glamour 1
go 8
goes 2
going 1
gone 1
greft 3
group 2
grown 1
guide 1
had 4
handsome 2
happening 1
hard 1
has 13
hatch 2
hatched 1
hatching 2
hatchling 1
hatchlings 1
have 4
having 2
he 30
hear 1
heir 2
help 3
helping 1
her 43
herself 5
hest 9
high 2
him 9
himself 2
hinted 1
hired 1
his 18
hope 1
hopes 7
house 1
how 2
hunt 1
hunter 1
hunters 1
idea 2
if 4
illegal 1
immediately 1
immense 1
immune 1
important 1
impregnate 1
in 21
inability 1
including 4
infants 1
infatuated 2
information 3
initially 1
intending 1
interested 1
into 3
introduction 1
involve 1
is 46
it 20
items 1
job 1
join 1
joins 1
journey 5
keep 1
keeper 1
keepers 6
keeping 1
kelsingra 2
killed 1
kills 1
kincarrion 1
known 1
lacks 1
last 3
late 1
later 3
leader 1
leading 2
learns 2
leave 1
leftrin 10
let 2
letter 1
letters 1
lie 1
life 4
lifetime 1
like 2
likely 1
limited 1
little 1
lives 1
liveship 2
local 1
long 1
longer 1
look 1
lost 2
love 1
loved 1
lover 1
luxurious 1
made 3
make 4
makes 2
making 1
malformed 2
malta 1
man 3
marriage 6
mate 1
may 2
meanwhile 1
meet 1
memories 5
mercor 2
message 1
met 1
might 1
miss 1
missing 1
money 1
more 3
most 1
moved 1
much 2
must 1
named 1
naming 1
near 1
nearly 1
never 2
new 3
newly 1
night 2
no 1
norm 1
normal 1
not 11
noted 1
notes 1
obvious 1
of 37
off 1
offered 1
old 1
older 1
on 14
one 4
ones 1
only 4
opens 1
or 3
others 2
out 3
over 2
overseeing 1
own 1
paragon 2
part 3
parts 1
pass 1
passage 1
passed 2
passion 1
past 1
payment 1
people 1
per 1
perfumes 1
piece 1
pieces 1
pigeon 2
place 2
plain 1
plan 2
planned 1
point 1
posh 1
possibly 1
price 1
prime 1
produce 1
profit 1
promise 1
proof 1
proportions 1
protect 2
provide 2
provides 1
providing 1
pursue 1
put 1
queen 1
questioning 1
rain 9
real 2
realize 3
realized 1
recall 1
recognize 1
refuses 2
regardless 1
reintroduced 1
relying 1
remaining 1
rents 1
reputation 1
research 1
resolve 1
return 1
revealed 1
revealing 1
risk 1
river 3
rumored 1
sad 1
safe 1
save 1
says 1
scales 1
scaling 1
sea 1
second 1
secret 1
secretary 1
sedric 12
seem 1
seen 1
select 1
selects 1
sell 1
sends 1
sentience 1
separated 1
serpents 2
shame 1
she 32
ship 2
shocked 1
should 3
side 1
sign 1
signs 2
silver 1
simultaneously 1
sinad 2
since 2
sintara 4
sisarqua 2
size 1
slave 1
slowly 1
smoothly 1
sneaks 1
so 3
sold 1
some 7
someone 1
soon 1
speak 3
speaks 1
spinsterhood 1
spread 1
stolen 1
storyline 1
strange 1
stronger 1
struggles 1
studies 2
study 2
substance 1
succeeds 1
such 1
suggested 1
suitor 1
summoned 1
supplies 1
surprised 1
suspecting 1
swarge 3
sylve 2
tail 1
taint 2
take 1
taken 1
takes 1
tarman 3
tastes 1
tats 2
tattooed 1
tell 3
tells 1
tend 1
tending 1
tensions 1
terrified 2
than 1
that 40
the 102
their 10
them 6
themselves 2
then 1
there 2
thereof 1
they 11
things 1
thinks 3
this 3
those 2
though 4
threatens 1
thrilled 2
thus 1
thymara 10
time 3
tintaglia 3
to 92
together 1
took 2
tormented 1
toward 1
towards 1
trader 2
traders 1
translate 1
transport 1
travel 2
trehaug 4
tries 2
trip 4
troubles 1
truth 1
try 1
trying 1
turned 1
two 2
ultimately 1
unable 2
uncertain 1
understand 1
unfaithful 2
unpleasant 1
unsure 1
until 1
unwilling 1
unworthy 1
up 6
upriver 1
use 5
using 1
valuable 1
very 1
visit 1
voyage 1
want 2
wants 2
war 1
was 3
washed 1
watch 3
way 1
weak 3
weaker 1
wedding 1
well 1
were 1
what 5
when 9
where 1
which 2
who 7
