6309756
/m/0g0g99
/m/0g0g99
Darren Shan
2007-06-04
3 1
a 36
able 1
about 6
accept 1
actually 3
advanced 1
affecting 1
after 6
again 3
air 1
airport 1
alarming 1
all 4
along 2
also 3
although 1
amazed 1
ambulance 2
an 3
and 64
angry 1
another 1
apparently 1
appear 1
appearance 1
appearing 1
appears 3
are 7
around 3
artery 1
as 9
ask 1
asleep 1
at 10
attacks 1
attempts 3
awakes 1
aware 1
away 2
back 6
bathroom 1
battle 1
battles 1
be 9
beast 2
beating 1
bec 2
because 1
become 2
becomes 1
been 1
before 2
begin 2
begins 4
behind 1
being 3
believe 1
believes 1
beranabus 2
best 1
better 1
between 1
bicker 1
big 2
bille 12
blood 4
board 1
body 2
bombs 1
book 5
both 3
bottle 4
bottom 1
boys 2
breaks 1
breathing 1
brother 1
bullies 1
but 17
butterflies 1
by 4
cage 4
call 3
called 2
calms 1
can 3
cannot 1
carcery 1
cave 10
cavern 1
cellar 1
change 1
changed 1
changes 1
chemicals 1
claiming 1
claims 2
cliff 1
climb 3
close 1
cockpit 1
coincidentally 1
come 3
coming 2
connection 1
constantly 1
contact 1
continued 1
continues 1
control 1
convince 1
cope 1
couldnt 1
create 1
creature 1
crowd 1
curse 1
dangerous 1
darren 1
day 2
days 1
dealing 1
death 2
deaths 1
debate 1
decide 3
declaring 1
deep 2
defying 1
demon 2
demonata 1
demons 4
demonta 1
dervish 24
describes 1
desire 1
detonated 1
did 2
die 1
dies 1
digging 3
direction 1
dispatching 1
distant 1
do 1
doesnt 1
done 1
doom 1
doorway 1
down 6
dreadful 1
dreams 1
drunk 1
due 1
during 2
duty 1
each 3
easily 1
edge 1
else 1
encourages 1
ends 2
escaping 1
even 1
evening 1
eventually 3
every 1
everyone 1
explain 1
explains 1
explodes 1
extreme 1
face 2
fact 2
falls 1
familiar 1
fear 1
feel 2
feeling 1
feels 2
fell 1
few 1
fifth 1
fight 1
finally 1
find 6
finds 4
fine 1
first 4
flame 1
floor 3
flower 1
following 1
for 10
freak 1
frees 1
freezes 1
friend 1
friends 2
from 10
front 1
full 5
gave 1
get 4
gets 2
girls 1
given 2
gives 1
go 7
goes 5
gone 3
goodbye 1
gossel 2
got 2
gotten 1
grandparents 1
gravity 1
greatly 1
gret 1
growing 1
grubbs 43
guardians 1
half 2
hands 1
hanging 1
hard 2
has 13
have 3
having 1
he 31
head 2
heal 1
hear 1
hears 1
heart 1
heavy 1
hell 1
help 2
helped 1
helps 1
her 6
him 15
himself 6
his 17
hoist 1
hold 1
hole 3
home 3
hope 1
house 3
however 3
howling 2
human 2
identical 1
if 1
ill 1
immediately 1
impending 1
in 20
including 1
increase 1
into 5
investigated 1
involved 1
is 24
isnt 1
it 11
jogs 1
juni 10
just 1
keeps 1
kill 3
killed 3
killing 2
kiss 1
kisses 1
known 1
lambs 6
language 1
large 1
late 2
later 4
leads 1
leaves 2
left 1
legal 1
let 2
levitating 2
lied 1
life 3
lifeless 1
lifts 1
like 2
likely 1
loch 15
long 1
look 2
looking 1
looks 3
lord 4
loses 1
loss 2
lycanthropy 1
lying 1
ma 1
magic 2
magician 1
make 2
makes 2
master 1
may 3
meera 1
meet 2
meets 1
met 1
might 1
mirror 1
moon 3
more 5
morning 1
move 2
moving 2
must 1
near 1
nearby 1
nearly 1
necessary 1
need 2
needs 1
new 2
next 4
night 5
nightmares 4
nights 1
no 1
nobody 1
noise 2
none 1
normal 3
not 4
nothing 1
notice 1
notices 2
now 1
odd 1
of 28
old 1
on 11
once 1
one 5
only 2
opens 1
or 1
other 4
others 1
out 6
over 1
own 2
owns 1
pa 1
pact 1
pain 1
party 1
passengers 2
passionately 1
people 1
performs 1
petals 1
plane 6
planted 1
play 2
plughole 1
point 1
police 1
possibly 1
powers 1
presumably 1
previous 1
protect 2
protest 1
protests 1
prowess 1
psychologist 2
put 1
quarry 1
rabbitlike 1
realises 1
realize 1
realizes 1
remembers 1
reni 3
replacement 1
resuscitate 1
returns 3
revealed 1
reveals 1
rock 2
rocks 3
romantically 1
run 1
runs 2
same 1
save 1
say 1
says 4
school 3
scorpion 1
scream 2
see 2
seems 1
seeping 1
sees 2
sent 1
series 1
set 3
several 2
shaking 1
shan 1
shards 1
she 9
sheftree 2
shell 1
should 1
shows 2
sides 1
silent 1
similar 1
simply 1
since 1
sister 3
six 1
slawter 3
sleep 3
slightly 1
so 2
soil 1
somehow 1
something 1
son 1
soon 4
spell 1
spells 1
spin 1
spleen 1
spot 1
stalactites 1
stalagmites 1
start 3
starts 3
state 1
stay 1
stop 1
stops 2
strange 1
strong 1
stunning 1
suddenly 1
suggests 2
summoned 1
supported 1
sure 1
suspecting 1
swan 1
symptoms 1
takes 1
talk 1
teaches 1
tell 2
tells 3
tensions 1
that 30
the 111
their 2
them 7
then 7
there 4
these 3
they 16
thief 1
third 1
this 7
those 1
three 4
through 2
throw 1
throws 1
thud 1
time 4
times 3
title 1
to 71
top 1
tramp 5
trapped 1
treasure 4
tremendously 1
tried 1
troubles 1
try 1
tunnel 1
turbulence 1
turn 1
turns 3
two 4
underneath 1
unleash 1
until 1
up 7
usual 2
vale 1
very 4
wakes 2
wall 1
wanting 1
was 1
water 1
waterfall 1
way 4
week 1
weekend 1
well 1
were 2
werewolf 4
what 2
whatever 1
when 7
where 3
whether 1
which 2
while 8
whispering 2
who 2
why 1
will 2
with 11
woken 1
wont 1
words 1
works 1
world 1
wounds 1
written 1
year 1
yet 1
yours 1
